Date: 04-28 at 14:13:51, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 569.71(2), mean: 868.89, max: 1572.19
Date: 04-28 at 14:13:52, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 903.11, max: 1709.61
Date: 04-28 at 14:13:55, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 1089.97, max: 2111.01
Date: 04-28 at 14:13:57, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 1154.33, max: 2249.90
Date: 04-28 at 14:14:01, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 1368.41, max: 2651.30
Date: 04-28 at 14:14:05, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 1442.48, max: 2790.19
Date: 04-28 at 14:14:11, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 878.15, max: 1002.32
Date: 04-28 at 14:14:13, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 661.74, max: 787.49
Date: 04-28 at 14:14:14, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 722.17, max: 1074.13
Date: 04-28 at 14:14:16, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 736.07, max: 1213.01
Date: 04-28 at 14:14:18, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 878.15, max: 1002.32
Date: 04-28 at 14:14:19, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 648.37, max: 765.21
Date: 04-28 at 14:14:21, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 620.84, max: 762.22
Date: 04-28 at 14:14:22, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 616.49, max: 762.22
Date: 04-28 at 14:14:23, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 878.15, max: 1002.32
Date: 04-28 at 14:14:25, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 676.87, max: 1044.65
Date: 04-28 at 14:14:26, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 540.29(2), mean: 660.70, max: 1183.54
