Date: 04-18 at 21:55:50, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 725.40(4), mean: 1284.35, max: 1425.35
Date: 04-18 at 21:55:51, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 601.15(3), mean: 1381.54, max: 1538.36
Date: 04-18 at 21:55:52, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1684.05, max: 1864.27
Date: 04-18 at 21:55:54, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1753.22, max: 1938.38
Date: 04-18 at 21:55:56, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1822.39, max: 2012.50
Date: 04-18 at 21:55:58, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1979.40, max: 2180.73
Date: 04-18 at 21:56:01, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 2136.41, max: 2348.95
Date: 04-18 at 21:56:04, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1067.91, max: 1204.13
Date: 04-18 at 21:56:04, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1224.92, max: 1372.35
Date: 04-18 at 21:56:05, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1381.93, max: 1540.58
Date: 04-18 at 21:56:06, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1451.11, max: 1614.69
Date: 04-18 at 21:56:07, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1067.91, max: 1204.13
Date: 04-18 at 21:56:07, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1137.09, max: 1278.24
Date: 04-18 at 21:56:08, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1448.48, max: 1611.88
Date: 04-18 at 21:56:09, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1605.49, max: 1780.11
Date: 04-18 at 21:56:12, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1067.91, max: 1204.13
Date: 04-18 at 21:56:13, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1137.09, max: 1278.24
Date: 04-18 at 21:56:14, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 575.98(3), mean: 1448.48, max: 1611.88
