Date: 11-12 at 18:10:57, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1682.11(22), mean: 2855.56, max: 3232.98
Date: 11-12 at 18:12:31, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1605.58(21), mean: 1920.18, max: 2941.32
Date: 11-12 at 18:13:55, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1591.77(20), mean: 1781.08, max: 2956.12
Date: 11-12 at 18:15:20, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1574.18(20), mean: 1734.73, max: 1824.66
Date: 11-12 at 18:16:46, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1563.70(20), mean: 1693.60, max: 1844.93
Date: 11-12 at 18:18:13, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1561.97(20), mean: 1621.32, max: 1668.82
Date: 11-12 at 18:19:44, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1557.33(20), mean: 1607.50, max: 1679.95
Date: 11-12 at 18:21:02, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1555.99(20), mean: 1657.88, max: 1733.57
Date: 11-12 at 18:22:27, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1538.95(20), mean: 1607.61, max: 1681.61
Date: 11-12 at 18:23:53, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1638.54, max: 1723.18
Date: 11-12 at 18:25:16, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1637.85, max: 1732.73
Date: 11-12 at 18:26:41, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1649.88, max: 1777.26
Date: 11-12 at 18:28:11, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1602.58, max: 1683.57
Date: 11-12 at 18:29:38, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1577.40, max: 1622.42
Date: 11-12 at 18:30:58, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1619.49, max: 1689.90
Date: 11-12 at 18:32:21, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1617.41, max: 1714.65
Date: 11-12 at 18:33:43, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1653.49, max: 1767.52
Date: 11-12 at 18:35:05, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1537.98(20), mean: 1701.67, max: 1814.92
Date: 11-12 at 18:36:30, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1522.33(20), mean: 1655.72, max: 1785.20
Date: 11-12 at 18:37:53, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1521.28(20), mean: 1603.20, max: 1701.11
Date: 11-12 at 18:39:15, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1521.28(20), mean: 1568.33, max: 1610.76
Date: 11-12 at 18:40:36, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1521.28(20), mean: 1600.21, max: 1653.96
Date: 11-12 at 18:42:00, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1454.68, best obj: 1521.04(20), mean: 1578.88, max: 1665.10
