Date: 12-15 at 14:37:57, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 1338.12(5), mean: 3154.95, max: 3469.60
Date: 12-15 at 14:38:51, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 1060.96(5), mean: 2906.59, max: 3240.67
Date: 12-15 at 14:39:41, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 1018.73(5), mean: 1893.61, max: 2166.87
Date: 12-15 at 14:40:35, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 976.41(8), mean: 1039.50, max: 1087.98
Date: 12-15 at 14:41:29, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 917.46(8), mean: 1123.63, max: 1195.35
Date: 12-15 at 14:42:21, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 863.03(8), mean: 1055.10, max: 1196.37
Date: 12-15 at 14:43:13, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 795.84(8), mean: 1095.37, max: 1245.15
Date: 12-15 at 14:44:09, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 750.16(6), mean: 1111.63, max: 1262.39
Date: 12-15 at 14:45:05, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.80(6), mean: 836.30, max: 923.20
Date: 12-15 at 14:46:02, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.80(6), mean: 811.81, max: 896.59
Date: 12-15 at 14:46:58, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 805.99, max: 865.08
Date: 12-15 at 14:47:50, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 817.87, max: 914.55
Date: 12-15 at 14:48:43, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 769.14, max: 845.52
Date: 12-15 at 14:49:38, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 769.09, max: 845.52
Date: 12-15 at 14:50:33, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 769.09, max: 845.52
Date: 12-15 at 14:51:22, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 732.65(6), mean: 895.54, max: 1295.61
Date: 12-15 at 14:52:14, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 691.62(5), mean: 814.48, max: 1234.37
Date: 12-15 at 14:53:09, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 672.10(5), mean: 779.94, max: 1032.84
Date: 12-15 at 14:53:59, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 731.75, max: 818.79
Date: 12-15 at 14:54:52, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 732.32, max: 829.51
Date: 12-15 at 14:55:47, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 726.52, max: 770.72
Date: 12-15 at 14:56:37, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 677.23, max: 720.27
Date: 12-15 at 14:57:28, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 673.97, max: 709.40
Date: 12-15 at 14:58:20, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 671.44(5), mean: 811.15, max: 965.71
Date: 12-15 at 14:59:11, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 719.01, max: 828.61
Date: 12-15 at 15:00:00, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 695.36, max: 776.31
Date: 12-15 at 15:00:50, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 735.10, max: 835.07
Date: 12-15 at 15:01:44, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 702.17, max: 761.05
Date: 12-15 at 15:02:33, #particle: 15, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 699.92, max: 732.46
Date: 12-15 at 15:03:24, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 898.38, max: 1222.55
Date: 12-15 at 15:04:16, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 835.56, max: 1178.77
Date: 12-15 at 15:05:07, #particle: 15, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 759.59, max: 957.48
Date: 12-15 at 15:05:57, #particle: 15, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 690.07, max: 865.56
Date: 12-15 at 15:06:55, #particle: 15, iter: 38, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 796.58, max: 1375.27
Date: 12-15 at 15:07:49, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56, best obj: 646.70(4), mean: 744.17, max: 1247.05
