Date: 08-09 at 17:55:48, #particle: 25, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 1036.67(5), mean: 2686.72, max: 3715.37
Date: 08-09 at 17:57:34, #particle: 25, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 962.51(4), mean: 2583.30, max: 3570.10
Date: 08-09 at 17:59:09, #particle: 25, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 949.97(4), mean: 1892.36, max: 3360.37
Date: 08-09 at 18:00:12, #particle: 25, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 947.09(4), mean: 1633.79, max: 2927.69
Date: 08-09 at 18:01:25, #particle: 25, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 902.00(6), mean: 1017.75, max: 1159.88
Date: 08-09 at 18:02:34, #particle: 25, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 878.90(6), mean: 965.17, max: 1131.82
Date: 08-09 at 18:03:40, #particle: 25, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 856.47(6), mean: 1063.41, max: 1219.13
Date: 08-09 at 18:04:50, #particle: 25, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 849.46(6), mean: 960.39, max: 1113.56
Date: 08-09 at 18:06:00, #particle: 25, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 847.46(6), mean: 910.93, max: 1066.25
Date: 08-09 at 18:07:09, #particle: 25, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 847.28(6), mean: 870.16, max: 937.32
Date: 08-09 at 18:08:18, #particle: 25, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 847.28(6), mean: 864.37, max: 920.81
Date: 08-09 at 18:09:58, #particle: 25, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 858.60, max: 929.71
Date: 08-09 at 18:11:02, #particle: 25, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 903.58, max: 1007.23
Date: 08-09 at 18:12:22, #particle: 25, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 907.06, max: 936.25
Date: 08-09 at 18:13:28, #particle: 25, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 852.26, max: 917.50
Date: 08-09 at 18:14:38, #particle: 25, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 846.83, max: 880.40
Date: 08-09 at 18:15:45, #particle: 25, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 843.61(6), mean: 1010.36, max: 1287.67
Date: 08-09 at 18:16:48, #particle: 25, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 840.70(5), mean: 923.78, max: 1123.74
Date: 08-09 at 18:17:57, #particle: 25, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 838.74(5), mean: 934.62, max: 1159.31
Date: 08-09 at 18:19:08, #particle: 25, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 838.74(5), mean: 948.20, max: 1173.46
Date: 08-09 at 18:20:14, #particle: 25, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 831.16(6), mean: 893.87, max: 1040.96
Date: 08-09 at 18:21:17, #particle: 25, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 828.63(6), mean: 848.97, max: 954.29
Date: 08-09 at 18:22:33, #particle: 25, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 826.61(5), mean: 860.27, max: 966.63
Date: 08-09 at 18:23:44, #particle: 25, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 818.96(6), mean: 860.58, max: 931.64
Date: 08-09 at 18:24:49, #particle: 25, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 892.49, max: 966.04
Date: 08-09 at 18:25:58, #particle: 25, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 948.49, max: 1014.45
Date: 08-09 at 18:27:19, #particle: 25, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 868.26, max: 986.09
Date: 08-09 at 18:28:34, #particle: 25, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 880.56, max: 949.01
Date: 08-09 at 18:29:37, #particle: 25, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 860.78, max: 969.11
Date: 08-09 at 18:30:40, #particle: 25, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 816.62(5), mean: 1046.57, max: 1388.51
Date: 08-09 at 18:31:51, #particle: 25, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 815.32(5), mean: 942.58, max: 1312.26
Date: 08-09 at 18:32:56, #particle: 25, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 735.8, best obj: 815.32(5), mean: 883.93, max: 1238.73
