Date: 12-21 at 08:28:00, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1267.81(11), mean: 2462.76, max: 3330.55
Date: 12-21 at 08:28:56, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1169.28(10), mean: 2210.71, max: 3085.55
Date: 12-21 at 08:29:56, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1155.36(10), mean: 1666.84, max: 2508.19
Date: 12-21 at 08:30:48, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1147.92(10), mean: 1543.10, max: 2290.58
Date: 12-21 at 08:31:47, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1144.30(9), mean: 1252.40, max: 1417.32
Date: 12-21 at 08:32:43, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1143.12(9), mean: 1287.37, max: 1452.37
Date: 12-21 at 08:33:36, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1143.12(9), mean: 1277.65, max: 1459.34
Date: 12-21 at 08:34:32, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1143.12(9), mean: 1296.28, max: 1488.13
Date: 12-21 at 08:35:32, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1143.11(11), mean: 1266.27, max: 1507.01
Date: 12-21 at 08:36:23, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1140.65(11), mean: 1303.39, max: 1532.64
Date: 12-21 at 08:37:19, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1140.65(11), mean: 1317.05, max: 1556.30
Date: 12-21 at 08:38:20, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1140.65(11), mean: 1298.76, max: 1562.24
Date: 12-21 at 08:39:15, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1115.88(10), mean: 1242.58, max: 1446.23
Date: 12-21 at 08:40:14, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1099.49(9), mean: 1175.14, max: 1259.65
Date: 12-21 at 08:41:14, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1099.49(9), mean: 1147.46, max: 1203.98
Date: 12-21 at 08:42:12, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 954.16, best obj: 1099.49(9), mean: 1134.65, max: 1186.19
