Date: 11-16 at 22:31:10, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1434.70(14), mean: 2472.79, max: 3119.63
Date: 11-16 at 22:32:33, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1375.48(14), mean: 2381.48, max: 3103.32
Date: 11-16 at 22:33:58, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1341.86(13), mean: 2287.23, max: 3051.28
Date: 11-16 at 22:35:25, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1341.86(13), mean: 1937.94, max: 2917.13
Date: 11-16 at 22:36:51, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1312.99(13), mean: 1838.90, max: 2811.30
Date: 11-16 at 22:38:16, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1717.73, max: 2732.97
Date: 11-16 at 22:39:39, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1759.85, max: 2774.79
Date: 11-16 at 22:41:04, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1756.21, max: 2751.37
Date: 11-16 at 22:42:28, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1587.29, max: 2485.26
Date: 11-16 at 22:43:55, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1435.71, max: 1533.64
Date: 11-16 at 22:45:16, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1458.58, max: 1590.41
Date: 11-16 at 22:46:40, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1521.16, max: 1662.16
Date: 11-16 at 22:48:04, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1311.67(13), mean: 1476.40, max: 1697.32
Date: 11-16 at 22:49:26, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1265.69(13), mean: 1376.91, max: 1460.71
Date: 11-16 at 22:50:50, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1260.08(13), mean: 1390.53, max: 1477.84
Date: 11-16 at 22:52:08, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1260.08(13), mean: 1443.48, max: 1558.39
Date: 11-16 at 22:53:27, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1253.01(12), mean: 1335.56, max: 1535.11
Date: 11-16 at 22:54:51, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1248.19(12), mean: 1319.06, max: 1442.58
Date: 11-16 at 22:56:10, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1248.19(12), mean: 1342.76, max: 1488.26
Date: 11-16 at 22:57:30, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1248.19(12), mean: 1316.16, max: 1443.74
Date: 11-16 at 22:58:50, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1248.19(12), mean: 1333.02, max: 1469.48
Date: 11-16 at 23:00:12, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1243.35(12), mean: 1290.22, max: 1389.62
Date: 11-16 at 23:01:28, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1231.94(12), mean: 1280.17, max: 1361.28
Date: 11-16 at 23:02:48, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1229.47(12), mean: 1295.58, max: 1373.29
Date: 11-16 at 23:04:04, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1229.47(12), mean: 1313.06, max: 1405.49
Date: 11-16 at 23:05:25, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1217.04(13), mean: 1246.32, max: 1383.69
Date: 11-16 at 23:06:48, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1212.22(12), mean: 1234.07, max: 1284.00
Date: 11-16 at 23:08:05, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1243.39, max: 1296.19
Date: 11-16 at 23:09:22, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1233.86, max: 1285.15
Date: 11-16 at 23:10:46, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1242.07, max: 1315.25
Date: 11-16 at 23:12:09, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1233.05, max: 1281.90
Date: 11-16 at 23:13:27, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1254.42, max: 1304.92
Date: 11-16 at 23:14:45, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1243.40, max: 1316.45
Date: 11-16 at 23:16:03, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1211.40(12), mean: 1267.41, max: 1330.86
Date: 11-16 at 23:17:18, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1205.46(12), mean: 1224.84, max: 1280.77
Date: 11-16 at 23:18:40, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1224.15, max: 1282.57
Date: 11-16 at 23:19:52, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1215.80, max: 1268.44
Date: 11-16 at 23:21:10, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1218.43, max: 1332.72
Date: 11-16 at 23:22:29, #particle: 15, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1210.86, max: 1221.07
Date: 11-16 at 23:23:45, #particle: 15, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1257.06, max: 1278.91
Date: 11-16 at 23:25:12, #particle: 15, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1228.07, max: 1303.10
Date: 11-16 at 23:26:33, #particle: 15, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1212.78, max: 1241.03
Date: 11-16 at 23:27:52, #particle: 15, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1211.82, max: 1236.12
Date: 11-16 at 23:29:08, #particle: 15, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1206.28, max: 1235.84
Date: 11-16 at 23:30:21, #particle: 15, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1204.09, max: 1205.75
Date: 11-16 at 23:31:38, #particle: 15, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1135.52, best obj: 1203.45(12), mean: 1206.45, max: 1239.28
