Date: 04-10 at 21:56:51, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 509.16(2), mean: 683.92, max: 1461.30
Date: 04-10 at 21:56:52, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 481.06(3), mean: 649.55, max: 1461.30
Date: 04-10 at 21:56:53, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 449.90(2), mean: 646.32, max: 1533.93
Date: 04-10 at 21:56:54, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 672.56, max: 1680.68
Date: 04-10 at 21:56:55, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 711.40, max: 1827.42
Date: 04-10 at 21:56:56, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 750.54, max: 1974.16
Date: 04-10 at 21:56:57, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 789.67, max: 2120.91
Date: 04-10 at 21:56:59, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 866.53, max: 2409.14
Date: 04-10 at 21:57:02, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 905.66, max: 2555.88
Date: 04-10 at 21:57:05, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 982.52, max: 2844.12
Date: 04-10 at 21:57:09, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 1059.39, max: 3132.35
Date: 04-10 at 21:57:13, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 1098.52, max: 3279.09
Date: 04-10 at 21:57:20, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 1175.38, max: 3567.33
Date: 04-10 at 21:57:27, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 434.98(2), mean: 1252.24, max: 3855.56
