Date: 08-10 at 17:33:22, iter: 1, new3, Khoo: 1135.52, current_best: 1392.53 best obj: 1392.53(13) mean: 2405.37, max: 2991.92
Date: 08-10 at 17:34:48, iter: 2, new3, Khoo: 1135.52, current_best: 1355.72 best obj: 1355.72(12) mean: 2417.87, max: 2957.74
Date: 08-10 at 17:36:13, iter: 3, new3, Khoo: 1135.52, current_best: 1341.58 best obj: 1341.58(12) mean: 2102.85, max: 2767.85
Date: 08-10 at 17:37:44, iter: 4, new3, Khoo: 1135.52, current_best: 1337.17 best obj: 1337.17(12) mean: 1981.44, max: 2744.13
Date: 08-10 at 17:39:16, iter: 5, new3, Khoo: 1135.52, current_best: 1331.88 best obj: 1331.88(13) mean: 1759.51, max: 2569.39
Date: 08-10 at 17:40:56, iter: 6, new3, Khoo: 1135.52, current_best: 1320.48 best obj: 1320.48(14) mean: 1379.53, max: 1498.03
Date: 08-10 at 17:42:20, iter: 7, new3, Khoo: 1135.52, current_best: 1307.87 best obj: 1307.87(13) mean: 1410.99, max: 1530.70
Date: 08-10 at 17:43:45, iter: 8, new3, Khoo: 1135.52, current_best: 1288.61 best obj: 1288.61(13) mean: 1419.72, max: 1557.71
Date: 08-10 at 17:45:17, iter: 9, new3, Khoo: 1135.52, current_best: 1273.85 best obj: 1273.85(13) mean: 1348.53, max: 1427.16
Date: 08-10 at 17:46:42, iter: 10, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1356.61, max: 1467.17
Date: 08-10 at 17:48:12, iter: 11, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1328.50, max: 1388.80
Date: 08-10 at 17:49:39, iter: 12, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1366.41, max: 1440.76
Date: 08-10 at 17:51:12, iter: 13, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1354.85, max: 1479.12
Date: 08-10 at 17:52:37, iter: 15, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1509.17, max: 1722.45
Date: 08-10 at 17:54:09, iter: 16, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1498.09, max: 1760.88
Date: 08-10 at 17:55:37, iter: 17, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1391.55, max: 1686.53
Date: 08-10 at 17:57:14, iter: 18, new3, Khoo: 1135.52, current_best: 1265.01 best obj: 1265.01(13) mean: 1351.72, max: 1411.26
Date: 08-10 at 17:58:36, iter: 19, new3, Khoo: 1135.52, current_best: 1263.18 best obj: 1263.18(13) mean: 1336.70, max: 1440.44
Date: 08-10 at 18:00:08, iter: 20, new3, Khoo: 1135.52, current_best: 1252.23 best obj: 1252.23(13) mean: 1362.61, max: 1462.57
Date: 08-10 at 18:01:44, iter: 21, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1313.65, max: 1393.22
Date: 08-10 at 18:03:12, iter: 22, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1378.76, max: 1472.80
Date: 08-10 at 18:04:46, iter: 23, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1388.00, max: 1499.31
Date: 08-10 at 18:06:18, iter: 24, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1322.66, max: 1390.05
Date: 08-10 at 18:07:51, iter: 26, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1447.31, max: 1649.70
Date: 08-10 at 18:09:20, iter: 27, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1432.71, max: 1681.30
Date: 08-10 at 18:10:47, iter: 28, new3, Khoo: 1135.52, current_best: 1249.94 best obj: 1249.94(13) mean: 1424.06, max: 1715.55
Date: 08-10 at 18:12:15, iter: 29, new3, Khoo: 1135.52, current_best: 1222.86 best obj: 1222.86(12) mean: 1281.25, max: 1353.12
Date: 08-10 at 18:13:44, iter: 30, new3, Khoo: 1135.52, current_best: 1218.35 best obj: 1218.35(12) mean: 1304.34, max: 1397.86
Date: 08-10 at 18:15:13, iter: 31, new3, Khoo: 1135.52, current_best: 1218.35 best obj: 1218.35(12) mean: 1301.27, max: 1423.72
Date: 08-10 at 18:16:38, iter: 32, new3, Khoo: 1135.52, current_best: 1216.15 best obj: 1216.15(12) mean: 1280.82, max: 1379.58
Date: 08-10 at 18:18:05, iter: 33, new3, Khoo: 1135.52, current_best: 1216.15 best obj: 1216.15(12) mean: 1280.77, max: 1399.87
Date: 08-10 at 18:19:34, iter: 34, new3, Khoo: 1135.52, current_best: 1211.40 best obj: 1211.40(12) mean: 1253.03, max: 1388.24
Date: 08-10 at 18:21:02, iter: 35, new3, Khoo: 1135.52, current_best: 1211.40 best obj: 1211.40(12) mean: 1246.07, max: 1348.42
Date: 08-10 at 18:22:21, iter: 36, new3, Khoo: 1135.52, current_best: 1211.40 best obj: 1211.40(12) mean: 1255.77, max: 1374.61
Date: 08-10 at 18:23:52, iter: 37, new3, Khoo: 1135.52, current_best: 1211.40 best obj: 1211.40(12) mean: 1254.95, max: 1423.88
Date: 08-10 at 18:25:30, iter: 39, new3, Khoo: 1135.52, current_best: 1211.40 best obj: 1211.40(12) mean: 1308.78, max: 1567.00
Date: 08-10 at 18:26:57, iter: 40, new3, Khoo: 1135.52, current_best: 1210.92 best obj: 1210.92(11) mean: 1282.78, max: 1601.33
Date: 08-10 at 18:28:22, iter: 41, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1268.90, max: 1531.10
Date: 08-10 at 18:29:40, iter: 42, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1268.71, max: 1545.55
Date: 08-10 at 18:31:01, iter: 43, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1320.10, max: 1594.09
Date: 08-10 at 18:32:39, iter: 44, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1287.37, max: 1581.62
Date: 08-10 at 18:33:59, iter: 46, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1350.77, max: 1752.19
Date: 08-10 at 18:35:27, iter: 47, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1333.60, max: 1827.77
Date: 08-10 at 18:36:53, iter: 48, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1274.19, max: 1605.55
Date: 08-10 at 18:38:14, iter: 49, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1252.34, max: 1358.27
Date: 08-10 at 18:39:51, iter: 51, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1309.51, max: 1484.62
Date: 08-10 at 18:41:30, iter: 53, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(13) mean: 1236.88, max: 1318.80
Date: 08-10 at 18:42:58, iter: 54, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1400.68, max: 1669.34
Date: 08-10 at 18:44:25, iter: 55, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1411.87, max: 1711.09
Date: 08-10 at 18:45:55, iter: 57, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1455.62, max: 1699.04
Date: 08-10 at 18:47:22, iter: 58, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1447.81, max: 1714.86
Date: 08-10 at 18:48:59, iter: 59, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1384.22, max: 1558.71
Date: 08-10 at 18:50:26, iter: 60, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.85(13) mean: 1400.44, max: 1535.85
Date: 08-10 at 18:51:58, iter: 62, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.82(13) mean: 1474.57, max: 1925.96
Date: 08-10 at 18:53:24, iter: 63, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.65(13) mean: 1449.88, max: 1937.43
Date: 08-10 at 18:55:17, iter: 65, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1310.65(14) mean: 1382.58, max: 1621.60
Date: 08-10 at 18:56:45, iter: 66, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1378.26, max: 1566.87
Date: 08-10 at 18:58:13, iter: 68, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1519.48, max: 1764.78
Date: 08-10 at 18:59:33, iter: 69, new3, Khoo: 1135.52, current_best: 1207.53 best obj: 1207.53(12) mean: 1466.13, max: 1759.71
