Date: 08-05 at 16:17:00, iter: 1, new3, Khoo: 705.33, current_best: 1073.58 best obj: 1073.58(6) mean: 2478.12, max: 3502.00
Date: 08-05 at 16:18:19, iter: 2, new3, Khoo: 705.33, current_best: 957.71 best obj: 957.71(5) mean: 2475.86, max: 3487.11
Date: 08-05 at 16:19:09, iter: 3, new3, Khoo: 705.33, current_best: 911.24 best obj: 911.24(4) mean: 1670.27, max: 2559.25
Date: 08-05 at 16:19:45, iter: 4, new3, Khoo: 705.33, current_best: 902.38 best obj: 902.38(4) mean: 1250.84, max: 1719.36
Date: 08-05 at 16:20:21, iter: 5, new3, Khoo: 705.33, current_best: 901.94 best obj: 901.94(4) mean: 1201.54, max: 1649.56
Date: 08-05 at 16:21:41, iter: 6, new3, Khoo: 705.33, current_best: 892.37 best obj: 892.37(5) mean: 1083.20, max: 1559.22
Date: 08-05 at 16:22:45, iter: 7, new3, Khoo: 705.33, current_best: 889.17 best obj: 889.17(5) mean: 1049.64, max: 1413.78
Date: 08-05 at 16:23:55, iter: 8, new3, Khoo: 705.33, current_best: 889.17 best obj: 889.17(5) mean: 956.97, max: 1014.64
Date: 08-05 at 16:24:29, iter: 9, new3, Khoo: 705.33, current_best: 889.17 best obj: 889.17(5) mean: 1008.06, max: 1092.50
Date: 08-05 at 16:25:27, iter: 10, new3, Khoo: 705.33, current_best: 888.29 best obj: 888.29(6) mean: 917.04, max: 1009.20
Date: 08-05 at 16:26:15, iter: 11, new3, Khoo: 705.33, current_best: 864.29 best obj: 864.29(6) mean: 922.97, max: 1030.73
Date: 08-05 at 16:27:19, iter: 12, new3, Khoo: 705.33, current_best: 858.70 best obj: 858.70(6) mean: 911.96, max: 959.81
Date: 08-05 at 16:28:28, iter: 13, new3, Khoo: 705.33, current_best: 848.67 best obj: 848.67(6) mean: 878.32, max: 956.59
Date: 08-05 at 16:29:35, iter: 14, new3, Khoo: 705.33, current_best: 829.05 best obj: 829.05(6) mean: 871.81, max: 949.50
Date: 08-05 at 16:30:29, iter: 15, new3, Khoo: 705.33, current_best: 823.34 best obj: 823.34(6) mean: 913.06, max: 947.98
Date: 08-05 at 16:31:26, iter: 16, new3, Khoo: 705.33, current_best: 823.34 best obj: 823.34(6) mean: 932.68, max: 964.48
Date: 08-05 at 16:32:34, iter: 17, new3, Khoo: 705.33, current_best: 823.34 best obj: 823.34(6) mean: 944.44, max: 978.63
Date: 08-05 at 16:33:53, iter: 18, new3, Khoo: 705.33, current_best: 823.34 best obj: 823.34(6) mean: 848.31, max: 865.03
Date: 08-05 at 16:34:49, iter: 19, new3, Khoo: 705.33, current_best: 820.38 best obj: 820.38(6) mean: 843.53, max: 886.87
Date: 08-05 at 16:35:45, iter: 20, new3, Khoo: 705.33, current_best: 820.23 best obj: 820.23(6) mean: 838.89, max: 858.04
Date: 08-05 at 16:36:24, iter: 21, new3, Khoo: 705.33, current_best: 820.23 best obj: 820.23(6) mean: 832.36, max: 885.29
Date: 08-05 at 16:37:28, iter: 22, new3, Khoo: 705.33, current_best: 820.23 best obj: 820.23(6) mean: 878.23, max: 939.26
Date: 08-05 at 16:38:37, iter: 23, new3, Khoo: 705.33, current_best: 820.23 best obj: 820.23(6) mean: 834.24, max: 869.08
Date: 08-05 at 16:39:53, iter: 25, new3, Khoo: 705.33, current_best: 820.23 best obj: 820.23(6) mean: 978.90, max: 1287.89
Date: 08-05 at 16:41:00, iter: 26, new3, Khoo: 705.33, current_best: 788.49 best obj: 788.49(5) mean: 867.10, max: 1146.73
Date: 08-05 at 16:41:57, iter: 27, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 851.43, max: 940.61
Date: 08-05 at 16:43:04, iter: 28, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 845.65, max: 989.40
Date: 08-05 at 16:44:13, iter: 29, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 839.79, max: 907.65
Date: 08-05 at 16:45:13, iter: 30, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 831.03, max: 952.78
Date: 08-05 at 16:46:06, iter: 32, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 964.58, max: 1215.34
Date: 08-05 at 16:46:51, iter: 33, new3, Khoo: 705.33, current_best: 787.36 best obj: 787.36(5) mean: 859.73, max: 1197.89
Date: 08-05 at 16:47:39, iter: 34, new3, Khoo: 705.33, current_best: 775.12 best obj: 775.12(5) mean: 804.89, max: 890.09
Date: 08-05 at 16:48:28, iter: 35, new3, Khoo: 705.33, current_best: 775.05 best obj: 775.05(5) mean: 820.39, max: 922.98
Date: 08-05 at 16:49:16, iter: 36, new3, Khoo: 705.33, current_best: 775.05 best obj: 775.05(5) mean: 789.29, max: 831.17
Date: 08-05 at 16:50:21, iter: 37, new3, Khoo: 705.33, current_best: 773.90 best obj: 773.90(5) mean: 785.30, max: 824.39
Date: 08-05 at 16:51:11, iter: 38, new3, Khoo: 705.33, current_best: 773.90 best obj: 773.90(5) mean: 787.64, max: 898.39
Date: 08-05 at 16:52:16, iter: 39, new3, Khoo: 705.33, current_best: 773.90 best obj: 773.90(5) mean: 797.79, max: 945.54
Date: 08-05 at 16:53:24, iter: 40, new3, Khoo: 705.33, current_best: 773.90 best obj: 773.90(5) mean: 782.45, max: 831.72
Date: 08-05 at 16:54:25, iter: 41, new3, Khoo: 705.33, current_best: 773.08 best obj: 773.08(5) mean: 779.88, max: 819.50
Date: 08-05 at 16:55:01, iter: 42, new3, Khoo: 705.33, current_best: 771.23 best obj: 771.23(5) mean: 805.17, max: 862.05
Date: 08-05 at 16:55:57, iter: 43, new3, Khoo: 705.33, current_best: 771.23 best obj: 771.23(5) mean: 773.80, max: 797.52
