Date: 01-20 at 05:31:05, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 945.00(7), mean: 2430.26, max: 3454.05
Date: 01-20 at 05:32:00, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 861.81(7), mean: 2386.77, max: 3434.90
Date: 01-20 at 05:32:51, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 846.59(6), mean: 2339.11, max: 3325.82
Date: 01-20 at 05:33:44, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 843.08(6), mean: 1900.99, max: 2857.26
Date: 01-20 at 05:34:36, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 832.01(5), mean: 977.16, max: 1088.89
Date: 01-20 at 05:35:28, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 1054.84, max: 1152.89
Date: 01-20 at 05:36:17, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 934.68, max: 1054.51
Date: 01-20 at 05:37:09, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 997.99, max: 1179.91
Date: 01-20 at 05:37:58, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 925.70, max: 1073.58
Date: 01-20 at 05:38:48, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 896.21, max: 1010.69
Date: 01-20 at 05:39:37, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 2167.48, max: 2821.39
Date: 01-20 at 05:40:28, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 1213.90, max: 2070.46
Date: 01-20 at 05:41:15, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 943.82, max: 1035.39
Date: 01-20 at 05:42:05, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 986.92, max: 1074.45
Date: 01-20 at 05:42:54, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 2283.01, max: 2997.86
Date: 01-20 at 05:43:44, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 705.33, best obj: 826.66(5), mean: 1586.00, max: 2402.53
