Date: 12-18 at 07:52:29, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1367.86(4), mean: 2913.87, max: 3606.84
Date: 12-18 at 07:53:01, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1269.84(4), mean: 2297.74, max: 2997.45
Date: 12-18 at 07:53:35, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1265.84(4), mean: 1660.00, max: 2413.77
Date: 12-18 at 07:54:06, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1265.84(4), mean: 1740.08, max: 2355.59
Date: 12-18 at 07:54:34, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1265.84(4), mean: 1737.27, max: 2318.64
Date: 12-18 at 07:55:20, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1227.70(6), mean: 1571.25, max: 2194.78
Date: 12-18 at 07:56:11, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1140.94(8), mean: 1247.65, max: 1321.77
Date: 12-18 at 07:56:54, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1095.29(8), mean: 1260.90, max: 1356.09
Date: 12-18 at 07:57:37, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1094.92(8), mean: 1229.10, max: 1338.90
Date: 12-18 at 07:58:23, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1094.92(8), mean: 1246.16, max: 1384.91
Date: 12-18 at 07:59:15, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1094.92(8), mean: 1265.87, max: 1418.34
Date: 12-18 at 07:59:50, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1082.84(9), mean: 1279.23, max: 1453.95
Date: 12-18 at 08:00:32, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1294.98, max: 1492.75
Date: 12-18 at 08:01:09, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1154.82, max: 1313.09
Date: 12-18 at 08:01:53, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1136.04, max: 1228.74
Date: 12-18 at 08:02:38, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1097.83, max: 1181.45
Date: 12-18 at 08:03:28, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1099.27, max: 1156.35
Date: 12-18 at 08:04:09, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1106.19, max: 1239.99
Date: 12-18 at 08:04:54, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 905.21, best obj: 1052.66(8), mean: 1105.26, max: 1174.55
