Date: 07-04 at 19:59:01, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1356.57(10) mean: 1397.95, max: 1475.65
Date: 07-04 at 20:00:41, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1356.57(10) mean: 1388.15, max: 1434.65
Date: 07-04 at 20:01:56, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1356.57(10) mean: 1397.48, max: 1476.56
Date: 07-04 at 20:03:27, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1356.57(10) mean: 1389.20, max: 1519.17
Date: 07-04 at 20:04:47, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1355.70(10) mean: 1365.20, max: 1404.45
Date: 07-04 at 20:05:57, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1355.70(10) mean: 1374.71, max: 1437.82
Date: 07-04 at 20:07:33, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1351.93(10) mean: 1362.85, max: 1406.43
Date: 07-04 at 20:08:40, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1351.93(10) mean: 1392.80, max: 1438.93
Date: 07-04 at 20:10:05, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1351.93(10) mean: 1378.37, max: 1425.02
Date: 07-04 at 20:11:29, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1351.93(10) mean: 1377.25, max: 1421.20
Date: 07-04 at 20:12:46, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1346.63(11) mean: 1364.65, max: 1422.20
Date: 07-04 at 20:13:54, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1345.77(11) mean: 1354.83, max: 1396.49
Date: 07-04 at 20:15:19, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1345.77(11) mean: 1354.05, max: 1396.49
Date: 07-04 at 20:16:31, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1345.77(11) mean: 1354.05, max: 1396.49
Date: 07-04 at 20:18:02, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1345.77(11) mean: 1362.43, max: 1396.49
