Date: 03-08 at 04:23:58, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 1435.04(13), mean: 2264.55, max: 2728.83
Date: 03-08 at 04:24:21, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 1270.38(13), mean: 2061.29, max: 2656.83
Date: 03-08 at 04:24:39, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 1241.86(12), mean: 2027.69, max: 2674.96
Date: 03-08 at 04:24:58, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 1236.13(12), mean: 1889.31, max: 2556.26
Date: 03-08 at 04:25:20, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 1225.13(12), mean: 1814.16, max: 2395.20
Date: 03-08 at 04:25:43, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 1224.84(12), mean: 1551.12, max: 2331.15
Date: 03-08 at 04:26:04, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 1202.08(11), mean: 1423.07, max: 1595.79
Date: 03-08 at 04:26:24, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 1198.88(11), mean: 1443.33, max: 1671.58
Date: 03-08 at 04:26:47, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 1196.33(11), mean: 1309.64, max: 1549.70
Date: 03-08 at 04:27:18, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 1196.33(11), mean: 1275.78, max: 1451.68
Date: 03-08 at 04:27:36, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 1194.13(11), mean: 1300.45, max: 1510.45
Date: 03-08 at 04:27:54, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 1194.13(11), mean: 1250.81, max: 1319.44
Date: 03-08 at 04:28:22, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.27(11), mean: 1268.54, max: 1345.41
Date: 03-08 at 04:28:38, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1355.27, max: 1439.44
Date: 03-08 at 04:29:05, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1233.91, max: 1287.01
Date: 03-08 at 04:29:29, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1253.37, max: 1336.10
Date: 03-08 at 04:29:57, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1236.36, max: 1306.37
Date: 03-08 at 04:30:31, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1228.82, max: 1301.86
Date: 03-08 at 04:30:56, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 2038.22, max: 2607.66
Date: 03-08 at 04:31:17, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 2093.35, max: 2608.02
Date: 03-08 at 04:31:39, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 2111.20, max: 2677.70
Date: 03-08 at 04:32:05, particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1594.89, max: 1799.94
Date: 03-08 at 04:32:31, particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 2023.63, max: 2541.98
Date: 03-08 at 04:32:51, particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, best obj: 1186.02(11), mean: 1960.82, max: 2442.24
