Date: 11-07 at 19:16:08, #particle: 5, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1549.28(7), mean: 3301.02, max: 4668.08
Date: 11-07 at 19:16:30, #particle: 5, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1446.62(7), mean: 2573.13, max: 4344.07
Date: 11-07 at 19:16:52, #particle: 5, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1937.25, max: 3454.42
Date: 11-07 at 19:17:12, #particle: 5, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1955.07, max: 3434.82
Date: 11-07 at 19:17:33, #particle: 5, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1857.19, max: 2689.67
Date: 11-07 at 19:17:56, #particle: 5, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1494.30, max: 1529.29
Date: 11-07 at 19:18:18, #particle: 5, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1558.59, max: 1614.71
Date: 11-07 at 19:18:39, #particle: 5, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1437.05(7), mean: 1652.26, max: 1776.99
Date: 11-07 at 19:19:04, #particle: 5, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1420.72(10), mean: 1471.69, max: 1515.98
Date: 11-07 at 19:19:24, #particle: 5, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1376.00(9), mean: 1489.60, max: 1547.41
Date: 11-07 at 19:19:44, #particle: 5, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1607.52, max: 1695.19
Date: 11-07 at 19:20:04, #particle: 5, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1633.19, max: 1727.35
Date: 11-07 at 19:20:24, #particle: 5, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1687.59, max: 1795.52
Date: 11-07 at 19:20:48, #particle: 5, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1460.78, max: 1527.89
Date: 11-07 at 19:21:10, #particle: 5, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1473.92, max: 1557.26
Date: 11-07 at 19:21:31, #particle: 5, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1497.11, max: 1581.31
Date: 11-07 at 19:21:54, #particle: 5, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1519.40, max: 1624.62
Date: 11-07 at 19:22:16, #particle: 5, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1371.43(9), mean: 1471.44, max: 1639.68
Date: 11-07 at 19:22:40, #particle: 5, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1157.55, best obj: 1365.84(11), mean: 1418.81, max: 1493.89
