Date: 07-04 at 11:24:03, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1973.43(17) mean: 3824.17, max: 4815.54
Date: 07-04 at 11:25:38, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1706.70(15) mean: 3764.07, max: 4722.46
Date: 07-04 at 11:27:06, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1675.60(14) mean: 3713.81, max: 4663.51
Date: 07-04 at 11:28:28, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1663.64(14) mean: 3595.54, max: 4530.58
Date: 07-04 at 11:30:01, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1663.64(14) mean: 3260.07, max: 4144.48
Date: 07-04 at 11:31:27, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1663.64(14) mean: 2729.64, max: 3730.94
Date: 07-04 at 11:32:53, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1585.03(11) mean: 2434.30, max: 3418.34
Date: 07-04 at 11:34:28, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1556.24(11) mean: 1911.42, max: 2990.96
Date: 07-04 at 11:35:47, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1528.23(11) mean: 1747.93, max: 3005.89
Date: 07-04 at 11:37:21, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1514.86(11) mean: 1612.20, max: 1778.46
Date: 07-04 at 11:38:33, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1495.03(11) mean: 1630.92, max: 1838.66
Date: 07-04 at 11:39:46, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1495.03(11) mean: 1673.31, max: 1904.55
Date: 07-04 at 11:41:12, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1495.03(11) mean: 1561.13, max: 1681.36
Date: 07-04 at 11:42:37, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1480.92(12) mean: 1526.25, max: 1586.66
Date: 07-04 at 11:44:03, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1519.80, max: 1569.99
Date: 07-04 at 11:45:25, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1525.41, max: 1585.68
Date: 07-04 at 11:46:51, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1513.90, max: 1571.51
Date: 07-04 at 11:48:17, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1512.61, max: 1570.72
Date: 07-04 at 11:49:43, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1509.88, max: 1567.52
Date: 07-04 at 11:51:15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1474.05(12) mean: 1727.71, max: 1974.50
Date: 07-04 at 11:52:48, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1452.42(12) mean: 1580.81, max: 1986.87
Date: 07-04 at 11:54:13, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1441.26(12) mean: 1648.42, max: 2038.15
Date: 07-04 at 11:55:49, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 1134.91 best obj: 1440.50(12) mean: 1617.18, max: 1756.45
