Date: 06-29 at 22:42:02, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1571.15(7) mean: 2592.70, max: 3471.97
Date: 06-29 at 22:43:00, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1484.04(6) mean: 2405.43, max: 3085.10
Date: 06-29 at 22:43:58, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1417.76(6) mean: 2192.07, max: 2887.24
Date: 06-29 at 22:44:54, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1404.47(6) mean: 2251.08, max: 2951.41
Date: 06-29 at 22:45:53, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1389.70(6) mean: 1805.84, max: 2434.38
Date: 06-29 at 22:47:03, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1373.21(10) mean: 1502.39, max: 2064.03
Date: 06-29 at 22:48:10, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1324.08(10) mean: 1523.14, max: 2050.68
Date: 06-29 at 22:49:07, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1314.08(10) mean: 1536.30, max: 2096.31
Date: 06-29 at 22:50:08, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1314.08(10) mean: 1541.76, max: 1685.28
Date: 06-29 at 22:51:27, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1314.08(10) mean: 1527.63, max: 1726.60
Date: 06-29 at 22:52:47, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1314.08(10) mean: 1417.36, max: 1651.23
Date: 06-29 at 22:53:52, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1297.62(10) mean: 1454.98, max: 1699.59
Date: 06-29 at 22:55:12, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1292.02(10) mean: 1342.70, max: 1384.07
Date: 06-29 at 22:56:21, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1288.05(10) mean: 1379.96, max: 1432.86
Date: 06-29 at 22:57:28, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1279.53(10) mean: 1404.43, max: 1446.57
Date: 06-29 at 22:58:52, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1279.53(10) mean: 1409.19, max: 1496.44
Date: 06-29 at 23:00:13, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1279.53(10) mean: 1353.94, max: 1504.02
Date: 06-29 at 23:01:25, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1254.93(11) mean: 1290.70, max: 1365.53
Date: 06-29 at 23:02:34, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1254.93(11) mean: 1287.30, max: 1355.29
Date: 06-29 at 23:03:45, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1254.93(11) mean: 1303.79, max: 1414.08
Date: 06-29 at 23:04:58, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1244.76(9) mean: 1282.99, max: 1353.41
Date: 06-29 at 23:06:09, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1244.76(9) mean: 1284.29, max: 1342.96
Date: 06-29 at 23:07:09, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1244.76(9) mean: 1315.07, max: 1390.31
Date: 06-29 at 23:08:23, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1241.83(9) mean: 1263.99, max: 1322.40
Date: 06-29 at 23:09:19, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1241.83(9) mean: 1295.95, max: 1414.29
Date: 06-29 at 23:10:37, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.15(10) mean: 1269.25, max: 1320.17
Date: 06-29 at 23:11:43, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1288.15, max: 1363.07
Date: 06-29 at 23:12:58, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1311.42, max: 1396.08
Date: 06-29 at 23:14:11, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1285.51, max: 1381.87
Date: 06-29 at 23:15:32, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1271.66, max: 1306.68
Date: 06-29 at 23:16:44, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1271.10, max: 1295.75
Date: 06-29 at 23:18:05, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1291.37, max: 1328.76
Date: 06-29 at 23:19:09, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1287.88, max: 1346.10
Date: 06-29 at 23:20:34, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1289.11, max: 1333.09
Date: 06-29 at 23:21:44, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1295.48, max: 1360.05
Date: 06-29 at 23:23:03, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1279.33, max: 1341.49
Date: 06-29 at 23:24:04, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1271.91, max: 1364.49
Date: 06-29 at 23:25:22, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1234.34(10) mean: 1268.88, max: 1393.87
Date: 06-29 at 23:26:33, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1227.02(10) mean: 1251.94, max: 1275.24
Date: 06-29 at 23:27:50, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1247.01, max: 1275.24
Date: 06-29 at 23:28:59, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1289.20, max: 1322.04
Date: 06-29 at 23:30:09, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1261.87, max: 1321.60
Date: 06-29 at 23:31:15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1290.88, max: 1359.86
Date: 06-29 at 23:32:35, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1266.59, max: 1352.97
Date: 06-29 at 23:33:53, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1260.12, max: 1303.25
Date: 06-29 at 23:34:58, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1303.35, max: 1360.24
Date: 06-29 at 23:36:21, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1251.19, max: 1269.37
Date: 06-29 at 23:37:42, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1249.70, max: 1267.99
Date: 06-29 at 23:38:44, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1273.54, max: 1295.85
Date: 06-29 at 23:39:46, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1271.08, max: 1314.29
Date: 06-29 at 23:40:46, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1259.87, max: 1277.08
Date: 06-29 at 23:41:48, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1276.86, max: 1302.57
Date: 06-29 at 23:42:54, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1274.43, max: 1364.91
Date: 06-29 at 23:43:56, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1255.82, max: 1270.81
Date: 06-29 at 23:45:09, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1272.06, max: 1302.38
Date: 06-29 at 23:46:25, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1236.11, max: 1258.96
Date: 06-29 at 23:47:33, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1248.47, max: 1322.41
Date: 06-29 at 23:48:49, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1239.23, max: 1281.90
Date: 06-29 at 23:50:05, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1252.26, max: 1314.85
Date: 06-29 at 23:51:11, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1248.11, max: 1362.31
Date: 06-29 at 23:52:18, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1238.44, max: 1310.91
Date: 06-29 at 23:53:26, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1244.71, max: 1310.77
Date: 06-29 at 23:54:31, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1239.92, max: 1358.23
Date: 06-29 at 23:55:46, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1242.58, max: 1362.22
Date: 06-29 at 23:56:59, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1233.07, max: 1256.35
Date: 06-29 at 23:58:08, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1231.97, max: 1257.54
Date: 06-29 at 23:59:09, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1246.59, max: 1286.12
Date: 06-30 at 00:00:22, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1225.55(10) mean: 1232.39, max: 1256.16
Date: 06-30 at 00:01:31, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1222.34(10) mean: 1229.52, max: 1256.16
Date: 06-30 at 00:02:37, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1262.33, max: 1292.05
Date: 06-30 at 00:03:50, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1235.55, max: 1259.44
Date: 06-30 at 00:04:56, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1269.81, max: 1288.69
Date: 06-30 at 00:06:05, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1236.52, max: 1279.14
Date: 06-30 at 00:07:16, iter: 74, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1232.72, max: 1238.89
Date: 06-30 at 00:08:22, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1257.26, max: 1275.00
Date: 06-30 at 00:09:29, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1230.00, max: 1239.90
Date: 06-30 at 00:10:40, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1227.96, max: 1242.31
Date: 06-30 at 00:11:47, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1237.01, max: 1275.00
Date: 06-30 at 00:12:56, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1217.79(10) mean: 1225.53, max: 1236.85
