Date: 07-20 at 22:22:42, #particle: 35, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1759.83, max: 2004.11
Date: 07-20 at 22:25:17, #particle: 35, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1733.79, max: 1853.22
Date: 07-20 at 22:27:53, #particle: 35, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1738.77, max: 1818.26
Date: 07-20 at 22:30:25, #particle: 35, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1746.56, max: 1861.91
Date: 07-20 at 22:33:01, #particle: 35, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1721.64, max: 1774.04
Date: 07-20 at 22:35:33, #particle: 35, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1738.62, max: 1816.22
Date: 07-20 at 22:38:06, #particle: 35, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1735.65, max: 1829.76
Date: 07-20 at 22:40:35, #particle: 35, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1719.54, max: 1823.52
Date: 07-20 at 22:43:09, #particle: 35, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1712.91, max: 1758.81
Date: 07-20 at 22:45:47, #particle: 35, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1712.10, max: 1758.81
Date: 07-20 at 22:48:22, #particle: 35, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1725.61, max: 1808.20
Date: 07-20 at 22:50:55, #particle: 35, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1726.24, max: 1840.98
Date: 07-20 at 22:53:28, #particle: 35, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1764.11, max: 1882.51
Date: 07-20 at 22:56:05, #particle: 35, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1729.03, max: 1812.24
Date: 07-20 at 22:58:43, #particle: 35, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 2169.32, max: 2825.15
Date: 07-20 at 23:01:23, #particle: 35, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1790.99, max: 1942.11
Date: 07-20 at 23:04:07, #particle: 35, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1804.71, max: 1972.89
Date: 07-20 at 23:06:52, #particle: 35, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1789.77, max: 1981.58
Date: 07-20 at 23:09:30, #particle: 35, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1804.22, max: 2031.46
Date: 07-20 at 23:12:04, #particle: 35, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1780.72, max: 2046.48
Date: 07-20 at 23:14:39, #particle: 35, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1799.82, max: 2088.12
Date: 07-20 at 23:17:17, #particle: 35, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1758.93, max: 2057.19
Date: 07-20 at 23:19:48, #particle: 35, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1728.51, max: 1850.83
Date: 07-20 at 23:22:22, #particle: 35, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1739.91, max: 1879.19
Date: 07-20 at 23:25:03, #particle: 35, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1677.01(21), mean: 1722.08, max: 1832.36
Date: 07-20 at 23:27:38, #particle: 35, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1722.50, max: 1828.90
Date: 07-20 at 23:30:09, #particle: 35, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1720.06, max: 1849.54
Date: 07-20 at 23:32:43, #particle: 35, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1736.45, max: 1848.35
Date: 07-20 at 23:35:24, #particle: 35, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1721.34, max: 1814.04
Date: 07-20 at 23:37:58, #particle: 35, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1727.74, max: 1855.31
Date: 07-20 at 23:40:31, #particle: 35, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1712.40, max: 1795.25
Date: 07-20 at 23:43:01, #particle: 35, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1713.25, max: 1842.84
Date: 07-20 at 23:45:33, #particle: 35, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1726.51, max: 1881.79
Date: 07-20 at 23:48:04, #particle: 35, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1710.55, max: 1759.80
Date: 07-20 at 23:50:41, #particle: 35, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1725.22, max: 1806.78
Date: 07-20 at 23:53:20, #particle: 35, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1676.29(21), mean: 1723.20, max: 1818.71
