Date: 01-06 at 01:18:24, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1699.75(16), mean: 2846.36, max: 3259.17
Date: 01-06 at 01:19:28, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1611.68(15), mean: 2875.65, max: 3298.03
Date: 01-06 at 01:20:31, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1596.37(15), mean: 2876.42, max: 3238.18
Date: 01-06 at 01:21:34, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1596.37(15), mean: 2767.29, max: 3101.88
Date: 01-06 at 01:22:40, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1596.37(15), mean: 2509.52, max: 3062.73
Date: 01-06 at 01:23:46, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1596.37(15), mean: 1737.03, max: 1892.18
Date: 01-06 at 01:24:50, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1553.25(16), mean: 1757.62, max: 1921.92
Date: 01-06 at 01:25:51, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1541.30(16), mean: 1794.06, max: 1982.84
Date: 01-06 at 01:26:54, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1598.78, max: 1683.76
Date: 01-06 at 01:27:52, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1630.98, max: 1750.20
Date: 01-06 at 01:28:54, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1650.31, max: 1785.34
Date: 01-06 at 01:29:55, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1708.03, max: 1853.96
Date: 01-06 at 01:30:56, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1685.53, max: 1874.03
Date: 01-06 at 01:32:01, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 2571.70, max: 2995.56
Date: 01-06 at 01:33:03, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1716.90, max: 1856.10
Date: 01-06 at 01:34:08, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1730.57, max: 1926.53
Date: 01-06 at 01:35:07, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1784.54, max: 1908.51
Date: 01-06 at 01:36:11, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 2569.33, max: 3010.87
Date: 01-06 at 01:37:15, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1371.69, best obj: 1537.08(16), mean: 1726.39, max: 1879.07
