Date: 07-09 at 08:17:32, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1542.94(14) mean: 2630.18, max: 3200.58
Date: 07-09 at 08:18:24, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1498.09(14) mean: 2542.60, max: 3139.80
Date: 07-09 at 08:19:15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1488.15(14) mean: 2548.13, max: 3114.86
Date: 07-09 at 08:20:12, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1485.89(14) mean: 2302.95, max: 3146.46
Date: 07-09 at 08:21:10, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1485.79(14) mean: 2327.37, max: 3129.21
Date: 07-09 at 08:22:00, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1485.59(14) mean: 2269.73, max: 3135.73
Date: 07-09 at 08:22:59, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1485.59(14) mean: 1663.10, max: 1924.10
Date: 07-09 at 08:23:54, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1478.36(15) mean: 1639.11, max: 1960.35
Date: 07-09 at 08:24:43, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1435.66(14) mean: 1662.95, max: 1944.57
Date: 07-09 at 08:25:37, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1435.66(14) mean: 1668.32, max: 1991.19
Date: 07-09 at 08:26:33, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1435.48(14) mean: 1587.77, max: 1830.47
Date: 07-09 at 08:27:23, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1435.48(14) mean: 1611.46, max: 1917.30
Date: 07-09 at 08:28:19, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1435.48(14) mean: 1533.01, max: 1707.51
Date: 07-09 at 08:29:14, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1426.36(14) mean: 1498.85, max: 1576.46
Date: 07-09 at 08:30:02, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1516.15, max: 1616.97
Date: 07-09 at 08:31:01, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1495.70, max: 1555.53
Date: 07-09 at 08:31:51, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1494.36, max: 1555.47
Date: 07-09 at 08:32:39, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1549.22, max: 1622.10
Date: 07-09 at 08:33:36, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1497.09, max: 1555.59
Date: 07-09 at 08:34:24, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1665.83, max: 2047.51
Date: 07-09 at 08:35:17, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1566.19, max: 1886.01
Date: 07-09 at 08:36:08, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1512.79, max: 1796.31
Date: 07-09 at 08:36:59, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1501.80, max: 1636.97
Date: 07-09 at 08:37:56, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1420.03(14) mean: 1622.87, max: 1947.02
Date: 07-09 at 08:38:43, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1385.69(13) mean: 1602.47, max: 1887.74
Date: 07-09 at 08:39:37, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1476.16, max: 1549.30
Date: 07-09 at 08:40:31, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1503.23, max: 1643.08
Date: 07-09 at 08:41:17, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1554.56, max: 1711.89
Date: 07-09 at 08:42:08, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1547.92, max: 1705.74
Date: 07-09 at 08:43:04, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1479.62, max: 1538.18
Date: 07-09 at 08:43:54, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1604.78, max: 1815.38
Date: 07-09 at 08:44:48, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1516.74, max: 1830.67
Date: 07-09 at 08:45:38, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1493.51, max: 1732.64
Date: 07-09 at 08:46:29, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1481.69, max: 1590.46
Date: 07-09 at 08:47:22, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1558.13, max: 1754.59
Date: 07-09 at 08:48:12, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1494.10, max: 1710.55
Date: 07-09 at 08:49:04, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1383.72(13) mean: 1471.15, max: 1694.39
Date: 07-09 at 08:49:56, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1438.51, max: 1514.25
Date: 07-09 at 08:50:42, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1490.55, max: 1576.89
Date: 07-09 at 08:51:37, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1434.46, max: 1485.00
Date: 07-09 at 08:52:29, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1431.13, max: 1484.14
Date: 07-09 at 08:53:19, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1430.69, max: 1484.14
Date: 07-09 at 08:54:14, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1529.36, max: 1732.62
Date: 07-09 at 08:55:06, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.12(13) mean: 1540.92, max: 1712.64
Date: 07-09 at 08:55:54, iter: 50, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1367.48(13) mean: 1455.89, max: 1618.43
Date: 07-09 at 08:56:45, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1366.12(13) mean: 1434.74, max: 1582.79
Date: 07-09 at 08:57:40, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1366.12(13) mean: 1459.13, max: 1628.40
Date: 07-09 at 08:58:31, iter: 53, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.93(13) mean: 1379.98, max: 1438.09
Date: 07-09 at 08:59:25, iter: 54, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1374.64, max: 1430.91
Date: 07-09 at 09:00:17, iter: 55, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1389.66, max: 1442.40
Date: 07-09 at 09:01:06, iter: 56, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1387.06, max: 1430.91
Date: 07-09 at 09:01:57, iter: 57, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1384.79, max: 1458.56
Date: 07-09 at 09:02:51, iter: 58, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1374.39, max: 1430.91
Date: 07-09 at 09:03:47, iter: 60, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1378.62, max: 1478.59
Date: 07-09 at 09:04:37, iter: 61, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1371.51, max: 1430.91
Date: 07-09 at 09:05:29, iter: 62, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1366.06, max: 1369.04
Date: 07-09 at 09:06:24, iter: 63, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1366.06, max: 1369.04
Date: 07-09 at 09:07:18, iter: 65, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1366.82, max: 1377.10
Date: 07-09 at 09:08:08, iter: 66, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1372.24, max: 1415.46
Date: 07-09 at 09:09:01, iter: 67, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1366.18, max: 1374.09
Date: 07-09 at 09:09:56, iter: 68, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.61, max: 1365.61
Date: 07-09 at 09:10:48, iter: 70, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.61, max: 1365.61
Date: 07-09 at 09:11:38, iter: 71, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.61, max: 1365.61
Date: 07-09 at 09:12:29, iter: 72, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.61, max: 1365.61
Date: 07-09 at 09:13:23, iter: 73, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.61, max: 1365.61
Date: 07-09 at 09:14:18, iter: 75, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1380.07, max: 1582.50
Date: 07-09 at 09:15:07, iter: 76, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1378.75, max: 1562.69
Date: 07-09 at 09:15:59, iter: 77, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.95, max: 1370.76
Date: 07-09 at 09:16:53, iter: 78, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.61(13) mean: 1365.76, max: 1367.89
Date: 07-09 at 09:17:48, iter: 80, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1365.46(13) mean: 1365.60, max: 1365.61
Date: 07-09 at 09:18:34, iter: 81, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1391.83, max: 1394.21
Date: 07-09 at 09:19:27, iter: 82, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.62, max: 1360.91
Date: 07-09 at 09:20:21, iter: 83, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:21:09, iter: 84, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:21:58, iter: 85, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:22:54, iter: 87, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:23:50, iter: 88, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:24:39, iter: 89, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:25:28, iter: 90, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:26:23, iter: 92, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:27:17, iter: 93, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:28:09, iter: 94, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:28:57, iter: 95, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.45, max: 1358.45
Date: 07-09 at 09:29:51, iter: 97, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1371.97, max: 1561.24
Date: 07-09 at 09:30:46, iter: 98, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1364.18, max: 1444.39
Date: 07-09 at 09:31:39, iter: 99, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1366.32, max: 1476.46
Date: 07-09 at 09:32:27, iter: 100, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.61, max: 1435.72
Date: 07-09 at 09:33:22, iter: 102, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1367.47, max: 1493.75
Date: 07-09 at 09:34:14, iter: 103, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.65, max: 1436.34
Date: 07-09 at 09:35:06, iter: 104, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.92, max: 1440.48
Date: 07-09 at 09:35:55, iter: 105, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.49, max: 1358.96
Date: 07-09 at 09:36:50, iter: 107, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1367.44, max: 1493.25
Date: 07-09 at 09:37:44, iter: 108, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1370.14, max: 1533.68
Date: 07-09 at 09:38:37, iter: 109, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1370.91, max: 1545.24
Date: 07-09 at 09:39:25, iter: 110, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.52, max: 1374.39
Date: 07-09 at 09:40:20, iter: 112, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1371.57, max: 1518.16
Date: 07-09 at 09:41:14, iter: 113, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1372.99, max: 1576.43
Date: 07-09 at 09:42:06, iter: 114, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1361.41, max: 1402.80
Date: 07-09 at 09:42:55, iter: 115, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.10, max: 1383.11
Date: 07-09 at 09:43:49, iter: 117, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1377.75, max: 1599.15
Date: 07-09 at 09:44:43, iter: 118, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1377.12, max: 1605.38
Date: 07-09 at 09:45:33, iter: 119, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1367.43, max: 1438.61
Date: 07-09 at 09:46:22, iter: 120, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.67, max: 1373.17
Date: 07-09 at 09:47:16, iter: 122, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1372.43, max: 1442.74
Date: 07-09 at 09:48:08, iter: 123, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1368.24, max: 1436.94
Date: 07-09 at 09:49:01, iter: 124, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.34, max: 1379.86
Date: 07-09 at 09:49:48, iter: 125, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.88, max: 1379.86
Date: 07-09 at 09:50:43, iter: 127, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1370.44, max: 1516.87
Date: 07-09 at 09:51:37, iter: 128, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.11, max: 1379.86
Date: 07-09 at 09:52:30, iter: 129, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.11, max: 1379.86
Date: 07-09 at 09:53:18, iter: 130, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.11, max: 1379.86
Date: 07-09 at 09:54:12, iter: 132, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1393.88, max: 1661.05
Date: 07-09 at 09:55:06, iter: 133, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1366.19, max: 1401.38
Date: 07-09 at 09:55:57, iter: 134, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1373.51, max: 1466.01
Date: 07-09 at 09:56:45, iter: 135, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1372.20, max: 1465.67
Date: 07-09 at 09:57:39, iter: 137, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1376.83, max: 1514.69
Date: 07-09 at 09:58:33, iter: 138, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.42, max: 1398.82
Date: 07-09 at 09:59:22, iter: 139, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1375.89, max: 1472.88
Date: 07-09 at 10:00:11, iter: 140, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1376.04, max: 1505.90
Date: 07-09 at 10:01:08, iter: 142, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1378.89, max: 1516.39
Date: 07-09 at 10:02:02, iter: 143, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1364.98, max: 1419.37
Date: 07-09 at 10:02:50, iter: 144, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1368.17, max: 1419.37
Date: 07-09 at 10:03:40, iter: 145, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1364.41, max: 1419.37
Date: 07-09 at 10:04:39, iter: 147, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.64, max: 1371.86
Date: 07-09 at 10:05:32, iter: 148, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1369.76, max: 1443.91
Date: 07-09 at 10:06:21, iter: 149, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1362.35, max: 1402.75
Date: 07-09 at 10:07:11, iter: 150, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.00, max: 1371.92
Date: 07-09 at 10:08:08, iter: 152, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.00, max: 1371.92
Date: 07-09 at 10:09:03, iter: 153, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1366.73, max: 1460.78
Date: 07-09 at 10:09:51, iter: 154, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1360.82, max: 1372.17
Date: 07-09 at 10:10:41, iter: 155, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.19, max: 1412.56
Date: 07-09 at 10:11:37, iter: 157, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1379.53, max: 1557.23
Date: 07-09 at 10:12:30, iter: 158, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1388.91, max: 1597.66
Date: 07-09 at 10:13:19, iter: 159, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.97, max: 1373.68
Date: 07-09 at 10:14:11, iter: 160, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.72, max: 1362.13
Date: 07-09 at 10:15:10, iter: 162, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.72, max: 1362.13
Date: 07-09 at 10:16:02, iter: 163, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.72, max: 1362.13
Date: 07-09 at 10:16:51, iter: 164, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.72, max: 1362.13
Date: 07-09 at 10:17:42, iter: 165, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1358.72, max: 1362.13
Date: 07-09 at 10:18:39, iter: 167, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1369.62, max: 1475.67
Date: 07-09 at 10:19:32, iter: 168, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.72, max: 1436.88
Date: 07-09 at 10:20:20, iter: 169, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1365.06, max: 1457.35
Date: 07-09 at 10:21:10, iter: 170, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.54, max: 1434.73
Date: 07-09 at 10:22:08, iter: 172, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1372.47, max: 1568.45
Date: 07-09 at 10:23:00, iter: 173, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1361.72, max: 1407.23
Date: 07-09 at 10:23:49, iter: 174, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.55, max: 1374.60
Date: 07-09 at 10:24:40, iter: 175, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1359.38, max: 1372.04
Date: 07-09 at 10:25:39, iter: 177, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1369.44, max: 1522.98
Date: 07-09 at 10:26:31, iter: 178, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1362.19, max: 1414.25
Date: 07-09 at 10:27:19, iter: 179, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1362.41, max: 1388.30
Date: 07-09 at 10:28:09, iter: 180, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1362.40, max: 1415.81
Date: 07-09 at 10:29:06, iter: 182, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1363.08, max: 1412.11
Date: 07-09 at 10:29:58, iter: 183, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1358.45(13) mean: 1362.45, max: 1404.87
