Date: 03-25 at 03:53:23, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 946.29(8), mean: 1567.29, max: 2097.76
Date: 03-25 at 03:53:27, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 946.13(8), mean: 1549.10, max: 1928.37
Date: 03-25 at 03:53:33, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 940.83(8), mean: 1081.03, max: 1242.31
Date: 03-25 at 03:53:37, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 938.59(8), mean: 1069.35, max: 1200.82
Date: 03-25 at 03:53:40, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 934.78(8), mean: 1132.91, max: 1278.51
Date: 03-25 at 03:53:45, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 934.78(8), mean: 1037.10, max: 1217.85
Date: 03-25 at 03:53:52, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 904.36(8), mean: 990.25, max: 1085.55
Date: 03-25 at 03:53:56, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 904.36(8), mean: 985.04, max: 1091.72
Date: 03-25 at 03:54:07, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 929.05, max: 1025.83
Date: 03-25 at 03:54:19, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 930.73, max: 983.69
Date: 03-25 at 03:54:24, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 922.55, max: 966.60
Date: 03-25 at 03:54:27, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 918.20, max: 964.31
Date: 03-25 at 03:54:32, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 914.97, max: 964.31
Date: 03-25 at 03:54:42, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 1391.06, max: 1923.32
Date: 03-25 at 03:54:45, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 1354.98, max: 1915.94
Date: 03-25 at 03:54:50, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 1330.75, max: 1806.58
Date: 03-25 at 03:54:59, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 850.11(7), mean: 969.91, max: 1067.64
Date: 03-25 at 03:55:08, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 847.18(8), mean: 1420.32, max: 1918.30
Date: 03-25 at 03:55:11, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 847.18(8), mean: 1435.88, max: 1924.14
