Date: 08-16 at 08:09:25, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1829.69(6), mean: 3898.21, max: 4651.47
Date: 08-16 at 08:10:03, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1652.77(6), mean: 2975.45, max: 4021.10
Date: 08-16 at 08:10:46, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1609.59(11), mean: 2359.98, max: 3226.21
Date: 08-16 at 08:11:33, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1512.56(10), mean: 1631.06, max: 1726.22
Date: 08-16 at 08:12:20, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1497.27(10), mean: 1670.79, max: 1797.08
Date: 08-16 at 08:13:02, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1496.18(10), mean: 1776.18, max: 1940.45
Date: 08-16 at 08:13:55, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1374.09(9), mean: 1627.91, max: 1875.74
Date: 08-16 at 08:14:45, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1599.00, max: 1783.27
Date: 08-16 at 08:15:30, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1591.02, max: 1783.95
Date: 08-16 at 08:16:27, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1561.33, max: 1817.59
Date: 08-16 at 08:17:11, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1561.47, max: 1740.66
Date: 08-16 at 08:18:07, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1469.49, max: 1577.03
Date: 08-16 at 08:18:52, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1658.88, max: 2010.14
Date: 08-16 at 08:19:43, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1365.47(9), mean: 1589.28, max: 2060.58
Date: 08-16 at 08:20:38, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1363.44(9), mean: 1443.39, max: 1583.82
Date: 08-16 at 08:21:38, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1361.88(9), mean: 1446.60, max: 1590.80
Date: 08-16 at 08:22:46, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1348.13(11), mean: 1408.01, max: 1492.81
Date: 08-16 at 08:23:40, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1440.16, max: 1530.74
Date: 08-16 at 08:24:35, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1473.06, max: 1557.64
Date: 08-16 at 08:25:31, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1453.11, max: 1578.13
Date: 08-16 at 08:26:28, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1413.65, max: 1529.51
Date: 08-16 at 08:27:21, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1411.60, max: 1480.48
Date: 08-16 at 08:28:18, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1599.78, max: 1856.63
Date: 08-16 at 08:29:12, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.17(10), mean: 1492.71, max: 1704.92
Date: 08-16 at 08:30:07, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1338.00(10), mean: 1388.25, max: 1453.76
Date: 08-16 at 08:30:53, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1409.68, max: 1515.55
Date: 08-16 at 08:31:51, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1402.22, max: 1553.26
Date: 08-16 at 08:32:52, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1368.45, max: 1399.59
Date: 08-16 at 08:33:45, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1406.63, max: 1453.96
Date: 08-16 at 08:34:37, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1448.36, max: 1501.14
Date: 08-16 at 08:35:32, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1597.45, max: 1910.83
Date: 08-16 at 08:36:23, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1329.27(10), mean: 1491.94, max: 1818.91
Date: 08-16 at 08:37:19, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1322.50(11), mean: 1419.38, max: 1650.21
Date: 08-16 at 08:38:18, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1320.98(10), mean: 1371.08, max: 1498.37
Date: 08-16 at 08:39:12, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1320.68(10), mean: 1368.87, max: 1483.02
Date: 08-16 at 08:40:04, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1320.27(10), mean: 1370.72, max: 1459.36
Date: 08-16 at 08:40:56, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1306.20(10), mean: 1361.78, max: 1437.21
Date: 08-16 at 08:41:48, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1304.50(10), mean: 1341.82, max: 1417.23
Date: 08-16 at 08:42:38, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1304.33(10), mean: 1330.51, max: 1432.41
Date: 08-16 at 08:43:34, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1321.10, max: 1393.29
Date: 08-16 at 08:44:28, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1322.23, max: 1369.71
Date: 08-16 at 08:45:22, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1312.31, max: 1361.02
Date: 08-16 at 08:46:18, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1312.26, max: 1361.02
Date: 08-16 at 08:47:09, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1313.75, max: 1371.13
Date: 08-16 at 08:47:58, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1299.68(10), mean: 1523.57, max: 1882.00
Date: 08-16 at 08:48:56, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1268.16(10), mean: 1372.11, max: 1889.12
Date: 08-16 at 08:49:55, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1324.87, max: 1457.49
Date: 08-16 at 08:50:46, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1324.46, max: 1473.70
Date: 08-16 at 08:51:42, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1330.08, max: 1532.96
Date: 08-16 at 08:52:33, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1314.35, max: 1364.05
Date: 08-16 at 08:53:17, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1359.44, max: 1446.62
Date: 08-16 at 08:54:09, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1507.48, max: 1729.20
Date: 08-16 at 08:55:04, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1378.79, max: 1604.86
Date: 08-16 at 08:55:51, #particle: 15, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1317.17, max: 1436.26
Date: 08-16 at 08:56:46, #particle: 15, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1310.19, max: 1347.92
Date: 08-16 at 08:57:40, #particle: 15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1262.62(10), mean: 1548.59, max: 1846.59
Date: 08-16 at 08:58:34, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1255.97(9), mean: 4167.76, max: 4931.45
Date: 08-16 at 08:59:30, #particle: 15, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 3913.58, max: 4907.85
Date: 08-16 at 09:00:20, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 3670.76, max: 4654.61
Date: 08-16 at 09:01:13, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 3074.93, max: 4032.96
Date: 08-16 at 09:02:03, #particle: 15, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 2197.64, max: 3947.92
Date: 08-16 at 09:03:01, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 2196.86, max: 3948.87
Date: 08-16 at 09:04:04, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 1706.74, max: 1952.08
Date: 08-16 at 09:04:54, #particle: 15, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 1698.98, max: 1967.23
Date: 08-16 at 09:05:47, #particle: 15, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 1648.62, max: 1992.35
Date: 08-16 at 09:06:36, #particle: 15, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 1157.55, best obj: 1248.89(9), mean: 1543.22, max: 1880.37
