Problem,Num_customer,NV,Distance
C101,25,3,191.3
C101,50,5,362.4
C101,100,10,827.3
C102,25,3,190.3
C102,50,5,361.4
C102,100,10,827.3
C103,25,3,190.3
C103,50,5,361.4
C103,100,10,826.3
C104,25,3,186.9
C104,50,5,358
C104,100,10,822.9
C105,25,3,191.3
C105,50,5,362.4
C105,100,10,827.3
C106,25,3,191.3
C106,50,5,362.4
C106,100,10,827.3
C107,25,3,191.3
C107,50,5,362.4
C107,100,10,827.3
C108,25,3,191.3
C108,50,5,362.4
C108,100,10,827.3
C109,25,3,191.3
C109,50,5,362.4
C109,100,10,827.3
