Problem,Num_customer,NV,Distance
RC201,25,3,360.2
RC201,50,5, 684.8
RC201,100,9, 1261.8
RC202,25,3,338
RC202,50,5,613.6
RC202,100,8,1092.3
RC203,25,3, 326.9
RC203,50,4,555.3
RC203,100,,
RC204,25,3,299.7
RC204,50,3,444.2
RC204,100,,
RC205,25,3, 338.0
RC205,50,5, 630.2
RC205,100,7,1154.0
RC206,25,3, 324.0
RC206,50,5,610.0
RC206,100,,
RC207,25,3, 298.3
RC207,50,4,558.6
RC207,100,,
RC208,25,2,269.1
RC208,50,,
RC208,100,,
