Problem,Num_customer,NV,Distance
RC101,25,4,461.1
RC101,50,8,944
RC101,100,15,1619.8
RC102,25,3,351.8
RC102,50,7,822.5
RC102,100,14,1457.4
RC103,25,3,332.8
RC103,50,6,710.9
RC103,100,11,1258
RC104,25,3,306.6
RC104,50,5,545.8
RC104,100,,
RC105,25,4,411.3
RC105,50,8,855.3
RC105,100,15,1513.7
RC106,25,3,345.5
RC106,50,6,723.2
RC106,100,,
RC107,25,3,298.3
RC107,50,6,642.7
RC107,100,12,1207.8
RC108,25,3,294.5
RC108,50,6,598.1
RC108,100,11,1114.2
