Date: 07-07 at 16:57:07, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1152.13, max: 1180.54
Date: 07-07 at 16:58:34, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1145.95, max: 1188.37
Date: 07-07 at 17:00:18, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1138.39, max: 1162.57
Date: 07-07 at 17:01:59, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1138.10, max: 1162.57
Date: 07-07 at 17:03:32, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1159.18, max: 1166.59
Date: 07-07 at 17:04:54, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1138.62, max: 1160.83
Date: 07-07 at 17:06:39, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1139.77, max: 1162.23
Date: 07-07 at 17:08:02, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1137.89, max: 1160.83
Date: 07-07 at 17:09:23, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1136.86, max: 1172.82
Date: 07-07 at 17:10:52, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1140.66, max: 1229.96
Date: 07-07 at 17:12:16, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.76, max: 1156.42
Date: 07-07 at 17:13:51, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.76, max: 1156.42
Date: 07-07 at 17:15:15, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.76, max: 1156.42
Date: 07-07 at 17:16:41, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.61, max: 1156.42
Date: 07-07 at 17:18:05, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.59, max: 1156.42
Date: 07-07 at 17:19:31, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.34, max: 1156.42
Date: 07-07 at 17:20:59, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.19, max: 1156.42
Date: 07-07 at 17:22:22, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.13, max: 1156.42
Date: 07-07 at 17:23:47, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1133.74, max: 1135.68
Date: 07-07 at 17:25:10, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1133.60, max: 1135.04
Date: 07-07 at 17:26:35, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1133.49, max: 1135.04
Date: 07-07 at 17:28:03, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1135.58, max: 1166.59
Date: 07-07 at 17:29:32, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1133.37(9) mean: 1133.50, max: 1135.38
Date: 07-07 at 17:31:03, iter: 62, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:32:20, iter: 63, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:33:46, iter: 64, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:35:12, iter: 65, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:36:36, iter: 66, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:38:02, iter: 67, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:39:38, iter: 68, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1133.26, max: 1133.37
Date: 07-07 at 17:41:01, iter: 69, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:42:37, iter: 70, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:44:00, iter: 71, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:45:30, iter: 72, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:46:59, iter: 73, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:48:26, iter: 74, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:49:52, iter: 75, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:51:20, iter: 76, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:52:44, iter: 77, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:54:09, iter: 78, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:55:34, iter: 79, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:57:16, iter: 80, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 17:58:59, iter: 81, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:00:22, iter: 82, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:01:42, iter: 83, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:03:07, iter: 84, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:04:30, iter: 85, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:06:01, iter: 86, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:07:23, iter: 87, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:08:47, iter: 88, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:10:15, iter: 89, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:11:50, iter: 90, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:13:16, iter: 91, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:14:44, iter: 92, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:16:09, iter: 93, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:17:32, iter: 94, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:19:13, iter: 95, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:20:34, iter: 96, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:22:00, iter: 97, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:23:38, iter: 98, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:25:05, iter: 99, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:26:28, iter: 100, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:27:50, iter: 101, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:29:15, iter: 102, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
Date: 07-07 at 18:30:50, iter: 103, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1131.76(9) mean: 1131.76, max: 1131.76
