Date: 01-06 at 20:25:04, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1371.96(13), mean: 2139.69, max: 2568.65
Date: 01-06 at 20:26:05, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1315.25(13), mean: 2018.03, max: 2580.24
Date: 01-06 at 20:27:03, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1311.93(13), mean: 2038.14, max: 2583.32
Date: 01-06 at 20:28:05, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1238.29(13), mean: 2081.68, max: 2605.76
Date: 01-06 at 20:29:05, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1238.29(13), mean: 1987.66, max: 2584.68
Date: 01-06 at 20:30:09, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1238.29(13), mean: 1872.75, max: 2552.71
Date: 01-06 at 20:31:09, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1238.29(13), mean: 1596.19, max: 2521.47
Date: 01-06 at 20:32:09, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1218.11(13), mean: 1375.85, max: 1504.39
Date: 01-06 at 20:33:08, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1420.09, max: 1565.04
Date: 01-06 at 20:34:07, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1494.18, max: 1656.82
Date: 01-06 at 20:35:06, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1324.20, max: 1379.82
Date: 01-06 at 20:36:04, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1339.05, max: 1445.29
Date: 01-06 at 20:37:01, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1391.79, max: 1493.73
Date: 01-06 at 20:38:00, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 2359.04, max: 2763.79
Date: 01-06 at 20:39:02, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1430.78, max: 1554.75
Date: 01-06 at 20:39:59, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1468.03, max: 1553.00
Date: 01-06 at 20:40:59, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1456.84, max: 1580.78
Date: 01-06 at 20:41:58, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 2302.22, max: 2809.64
Date: 01-06 at 20:42:59, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1117.53, best obj: 1210.22(12), mean: 1439.92, max: 1543.67
