Date: 01-27 at 09:31:21, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1277.02(15), mean: 2353.73, max: 3004.10
Date: 01-27 at 09:32:19, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1195.26(14), mean: 2003.16, max: 2587.79
Date: 01-27 at 09:33:14, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1184.25(13), mean: 1929.19, max: 2484.65
Date: 01-27 at 09:34:07, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1182.72(14), mean: 1749.99, max: 2360.17
Date: 01-27 at 09:35:10, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1165.14(14), mean: 1270.01, max: 1355.65
Date: 01-27 at 09:35:56, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1155.59(13), mean: 1320.45, max: 1414.07
Date: 01-27 at 09:36:54, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1153.32(13), mean: 1222.30, max: 1306.67
Date: 01-27 at 09:37:43, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1153.32(13), mean: 1290.42, max: 1389.95
Date: 01-27 at 09:38:33, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1153.32(13), mean: 1288.89, max: 1387.97
Date: 01-27 at 09:39:25, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1153.32(13), mean: 1293.59, max: 1434.74
Date: 01-27 at 09:40:22, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1153.32(13), mean: 1246.25, max: 1439.72
Date: 01-27 at 09:41:13, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 2232.01, max: 2568.21
Date: 01-27 at 09:42:08, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 2137.98, max: 2467.74
Date: 01-27 at 09:43:00, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 2138.56, max: 2430.03
Date: 01-27 at 09:43:53, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 1927.16, max: 2442.61
Date: 01-27 at 09:44:46, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 2190.48, max: 2526.68
Date: 01-27 at 09:45:40, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1137.63(13), mean: 2128.99, max: 2510.56
