Date: 07-06 at 05:27:16, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1602.36(19) mean: 2575.41, max: 2906.58
Date: 07-06 at 05:28:34, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1537.58(19) mean: 2487.78, max: 2905.35
Date: 07-06 at 05:29:59, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1537.11(19) mean: 2486.47, max: 2919.77
Date: 07-06 at 05:31:16, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.31(19) mean: 2291.79, max: 2811.61
Date: 07-06 at 05:32:42, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 2180.53, max: 2832.93
Date: 07-06 at 05:34:18, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 2086.81, max: 2810.45
Date: 07-06 at 05:35:37, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1936.16, max: 2707.03
Date: 07-06 at 05:37:06, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1647.86, max: 1771.76
Date: 07-06 at 05:38:19, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1679.52, max: 1815.74
Date: 07-06 at 05:39:54, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1589.25, max: 1695.86
Date: 07-06 at 05:41:18, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1599.08, max: 1727.91
Date: 07-06 at 05:42:45, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1594.95, max: 1671.81
Date: 07-06 at 05:44:10, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1621.08, max: 1717.86
Date: 07-06 at 05:45:40, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1610.28, max: 1734.28
Date: 07-06 at 05:47:01, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1597.53, max: 1757.27
Date: 07-06 at 05:48:22, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1587.99, max: 1772.71
Date: 07-06 at 05:49:43, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1570.73, max: 1627.04
Date: 07-06 at 05:50:53, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1607.44, max: 1672.18
Date: 07-06 at 05:52:07, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1654.52, max: 1731.17
Date: 07-06 at 05:53:26, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1536.30(19) mean: 1613.79, max: 1786.03
Date: 07-06 at 05:54:44, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1533.84(19) mean: 1597.72, max: 1810.01
Date: 07-06 at 05:56:11, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1504.40(19) mean: 1561.20, max: 1629.31
Date: 07-06 at 05:57:17, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1454.68 best obj: 1502.06(19) mean: 1599.96, max: 1669.45
