Date: 12-01 at 08:05:32, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1457.88(15), mean: 3242.52, max: 3714.74
Date: 12-01 at 08:06:22, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1238.01(14), mean: 3064.21, max: 3651.28
Date: 12-01 at 08:07:13, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1202.78(14), mean: 2769.13, max: 3515.33
Date: 12-01 at 08:08:01, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1197.48(14), mean: 2728.96, max: 3469.14
Date: 12-01 at 08:08:53, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1185.15(14), mean: 2236.80, max: 3360.78
Date: 12-01 at 08:09:45, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1182.68(14), mean: 2241.76, max: 3349.44
Date: 12-01 at 08:10:33, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1182.68(14), mean: 2073.65, max: 3172.63
Date: 12-01 at 08:11:22, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1182.68(14), mean: 1906.56, max: 2944.72
Date: 12-01 at 08:12:15, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1182.68(14), mean: 1745.82, max: 2568.61
Date: 12-01 at 08:13:14, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1093.70(14), mean: 1241.26, max: 1463.45
Date: 12-01 at 08:14:12, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 996.60(12), mean: 1125.60, max: 1237.12
Date: 12-01 at 08:15:00, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 969.27(12), mean: 1061.76, max: 1200.78
Date: 12-01 at 08:15:47, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 969.21(12), mean: 1081.52, max: 1247.00
Date: 12-01 at 08:16:41, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 1015.32, max: 1135.81
Date: 12-01 at 08:17:30, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 995.14, max: 1073.20
Date: 12-01 at 08:18:22, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 988.05, max: 1022.27
Date: 12-01 at 08:19:14, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 984.40, max: 1020.83
Date: 12-01 at 08:20:01, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 982.78, max: 1020.83
Date: 12-01 at 08:20:46, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 3106.58, max: 3657.98
Date: 12-01 at 08:21:42, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 1339.20, max: 1585.96
Date: 12-01 at 08:22:25, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 1353.14, max: 1580.05
Date: 12-01 at 08:23:13, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 961.89(12), mean: 1291.39, max: 1565.98
Date: 12-01 at 08:24:08, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 957.71(12), mean: 3072.29, max: 3694.31
Date: 12-01 at 08:25:04, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 955.71(12), mean: 1360.83, max: 1559.06
