Date: 01-11 at 10:54:46, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 1013.07(9), mean: 2677.62, max: 3693.85
Date: 01-11 at 10:55:48, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 938.54(8), mean: 1581.58, max: 2709.22
Date: 01-11 at 10:56:41, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 865.12(6), mean: 1593.86, max: 2716.96
Date: 01-11 at 10:57:37, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 826.15(6), mean: 1441.41, max: 2505.91
Date: 01-11 at 10:58:33, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 1316.31, max: 2248.02
Date: 01-11 at 10:59:31, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 1347.98, max: 2278.67
Date: 01-11 at 11:00:29, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 1327.40, max: 2257.11
Date: 01-11 at 11:01:26, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 1143.40, max: 1729.13
Date: 01-11 at 11:02:22, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 949.03, max: 1022.49
Date: 01-11 at 11:03:19, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 1093.89, max: 1351.45
Date: 01-11 at 11:04:14, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 917.09, max: 1231.23
Date: 01-11 at 11:05:11, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 921.85, max: 1235.47
Date: 01-11 at 11:06:03, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 816.68(6), mean: 926.91, max: 1024.14
Date: 01-11 at 11:06:56, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 812.01(5), mean: 1018.31, max: 1442.74
Date: 01-11 at 11:07:50, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 735.8, best obj: 807.35(5), mean: 964.99, max: 1437.33
