Date: 11-14 at 04:09:43, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1214.35(10), mean: 2426.48, max: 3325.08
Date: 11-14 at 04:10:50, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1167.87(10), mean: 2272.93, max: 3198.59
Date: 11-14 at 04:12:00, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1136.29(9), mean: 2049.04, max: 3157.94
Date: 11-14 at 04:13:06, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1857.54, max: 2860.55
Date: 11-14 at 04:14:13, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1531.26, max: 2335.42
Date: 11-14 at 04:15:21, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1450.53, max: 2082.46
Date: 11-14 at 04:16:31, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1468.79, max: 2017.78
Date: 11-14 at 04:17:36, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1452.73, max: 1916.52
Date: 11-14 at 04:18:49, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1305.59, max: 1790.43
Date: 11-14 at 04:20:02, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1168.43, max: 1246.91
Date: 11-14 at 04:21:03, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1198.02, max: 1292.27
Date: 11-14 at 04:22:12, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1189.15, max: 1279.43
Date: 11-14 at 04:23:20, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1240.64, max: 1351.10
Date: 11-14 at 04:24:23, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 954.16, best obj: 1122.08(9), mean: 1259.18, max: 1346.94
