Problem,Num_customer,NV,Opt,Our_floor,Our
R101,25,8,617.1,617.0999999999999,618.3299155462687
R102,25,7,547.1,547.1,548.1078177906315
R103,25,5,454.6,454.6,455.6982422498318
R104,25,4,416.9,416.90000000000003,417.9612285190714
R105,25,6,530.5,530.5,531.5386420627177
R106,25,3,465.4,465.4000000000001,466.48021215806654
R107,25,4,424.3,430.79999999999995,431.8133067342166
R108,25,4,397.3,397.3,398.29470724433304
R109,25,5,441.3,441.3,442.6252015649225
R110,25,4,444.1,444.1000000000001,445.1767671145248
R111,25,5,428.8,428.80000000000007,429.6967514130167
R112,25,4,393.0,392.99999999999994,394.1013161095329
