Date: 08-22 at 02:18:23, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1652.86(15), mean: 2688.15, max: 3355.88
Date: 08-22 at 02:19:17, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1584.53(15), mean: 2640.75, max: 3405.83
Date: 08-22 at 02:20:13, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1571.03(15), mean: 2654.45, max: 3390.13
Date: 08-22 at 02:21:08, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1570.31(15), mean: 2478.46, max: 3329.76
Date: 08-22 at 02:22:08, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1557.19(16), mean: 1711.80, max: 1884.39
Date: 08-22 at 02:23:07, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1512.85(15), mean: 1655.46, max: 1866.38
Date: 08-22 at 02:23:59, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1509.30(15), mean: 1688.61, max: 1891.61
Date: 08-22 at 02:25:06, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1507.94(15), mean: 1607.63, max: 1686.66
Date: 08-22 at 02:25:56, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1501.35(16), mean: 1625.35, max: 1743.56
Date: 08-22 at 02:26:53, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1500.19(16), mean: 1686.04, max: 1826.54
Date: 08-22 at 02:27:47, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1371.69, best obj: 1500.19(16), mean: 1704.21, max: 1891.02
