Date: 12-26 at 07:22:15, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1628.06(15), mean: 2627.98, max: 3245.04
Date: 12-26 at 07:23:07, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1555.54(15), mean: 2535.62, max: 3175.45
Date: 12-26 at 07:24:05, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2550.52, max: 3159.84
Date: 12-26 at 07:25:01, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2566.01, max: 3207.04
Date: 12-26 at 07:25:59, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2420.27, max: 3204.97
Date: 12-26 at 07:26:54, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2450.08, max: 3154.77
Date: 12-26 at 07:27:54, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2163.94, max: 3099.78
Date: 12-26 at 07:28:48, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1551.95(15), mean: 2290.38, max: 3204.02
Date: 12-26 at 07:29:44, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1518.62(16), mean: 1797.96, max: 2030.67
Date: 12-26 at 07:30:44, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1515.25(16), mean: 1787.24, max: 2039.15
Date: 12-26 at 07:31:38, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1515.25(16), mean: 1775.55, max: 2106.81
Date: 12-26 at 07:32:33, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1515.25(16), mean: 1748.52, max: 2133.92
Date: 12-26 at 07:33:39, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1515.25(16), mean: 1606.29, max: 1751.05
Date: 12-26 at 07:34:33, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1600.48, max: 1689.38
Date: 12-26 at 07:35:22, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1665.16, max: 1759.74
Date: 12-26 at 07:36:15, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1682.14, max: 1827.67
Date: 12-26 at 07:37:11, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1744.46, max: 1876.73
Date: 12-26 at 07:38:02, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1791.78, max: 1959.95
Date: 12-26 at 07:39:00, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1833.77, max: 2111.98
Date: 12-26 at 07:39:57, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1702.00, max: 2027.69
Date: 12-26 at 07:40:50, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1637.29, max: 1881.03
Date: 12-26 at 07:41:44, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1635.40, max: 1880.86
Date: 12-26 at 07:42:44, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1618.02, max: 1791.85
Date: 12-26 at 07:43:36, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 1371.69, best obj: 1486.94(15), mean: 1632.81, max: 1813.68
