Date: 01-25 at 12:08:35, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1438.37(16), mean: 3373.53, max: 3756.75
Date: 01-25 at 12:09:21, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1284.30(14), mean: 3136.98, max: 3573.36
Date: 01-25 at 12:10:10, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1083.92(13), mean: 3161.13, max: 3624.86
Date: 01-25 at 12:10:57, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 2754.67, max: 3156.21
Date: 01-25 at 12:11:48, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 2670.82, max: 3074.01
Date: 01-25 at 12:12:36, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 2509.59, max: 2959.65
Date: 01-25 at 12:13:27, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 2380.49, max: 2686.44
Date: 01-25 at 12:14:25, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 1425.39, max: 2542.24
Date: 01-25 at 12:15:15, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 3160.71, max: 3645.63
Date: 01-25 at 12:16:08, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 1402.83, max: 1671.14
Date: 01-25 at 12:17:02, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 1379.26, max: 1517.89
Date: 01-25 at 12:17:57, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1079.78(13), mean: 1333.37, max: 1506.40
Date: 01-25 at 12:18:49, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1069.59(14), mean: 3234.31, max: 3778.83
Date: 01-25 at 12:19:39, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94, best obj: 1039.22(13), mean: 1480.25, max: 1627.40
