Date: 07-07 at 00:09:15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1490.71(5) mean: 3191.95, max: 3889.45
Date: 07-07 at 00:10:26, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1345.71(11) mean: 2317.30, max: 3333.72
Date: 07-07 at 00:11:45, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1231.06(10) mean: 2242.82, max: 3142.34
Date: 07-07 at 00:13:06, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1189.99(10) mean: 2147.92, max: 3141.74
Date: 07-07 at 00:14:19, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 2072.22, max: 3043.46
Date: 07-07 at 00:15:40, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1903.40, max: 2786.61
Date: 07-07 at 00:16:57, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1846.75, max: 2612.28
Date: 07-07 at 00:18:17, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1610.60, max: 2469.82
Date: 07-07 at 00:19:46, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1460.45, max: 2486.79
Date: 07-07 at 00:21:00, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1463.87, max: 2071.32
Date: 07-07 at 00:22:28, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1323.25, max: 1569.07
Date: 07-07 at 00:23:40, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1293.01, max: 1411.16
Date: 07-07 at 00:24:52, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1332.00, max: 1456.95
Date: 07-07 at 00:26:08, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1463.24, max: 1716.52
Date: 07-07 at 00:27:20, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1394.99, max: 1747.86
Date: 07-07 at 00:28:40, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1260.14, max: 1323.43
Date: 07-07 at 00:29:57, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1184.17(10) mean: 1235.09, max: 1306.63
Date: 07-07 at 00:31:10, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1173.82(11) mean: 1423.14, max: 1610.22
Date: 07-07 at 00:32:17, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1171.05(11) mean: 1419.00, max: 1597.18
Date: 07-07 at 00:33:30, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1169.37(11) mean: 1350.82, max: 1657.32
Date: 07-07 at 00:34:44, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1147.74(11) mean: 1339.82, max: 1675.29
Date: 07-07 at 00:35:51, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1140.59(10) mean: 1272.95, max: 1637.73
Date: 07-07 at 00:37:00, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1134.16(10) mean: 1263.13, max: 1633.40
Date: 07-07 at 00:38:06, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1134.16(10) mean: 1256.79, max: 1428.04
Date: 07-07 at 00:39:21, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1122.65(10) mean: 1163.05, max: 1218.28
Date: 07-07 at 00:40:38, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1119.49(10) mean: 1151.58, max: 1198.01
Date: 07-07 at 00:41:38, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1115.88(9) mean: 1162.43, max: 1217.54
Date: 07-07 at 00:42:43, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1115.54(9) mean: 1129.24, max: 1166.86
Date: 07-07 at 00:43:52, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1113.69(10) mean: 1122.01, max: 1158.26
Date: 07-07 at 00:45:01, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1161.10, max: 1201.87
Date: 07-07 at 00:46:29, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1160.53, max: 1205.48
Date: 07-07 at 00:47:41, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1136.35, max: 1168.91
Date: 07-07 at 00:48:57, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1163.09, max: 1213.62
Date: 07-07 at 00:50:14, iter: 37, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1151.71, max: 1231.03
Date: 07-07 at 00:51:21, iter: 39, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1263.10, max: 1441.52
Date: 07-07 at 00:52:34, iter: 40, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.79(10) mean: 1154.73, max: 1248.52
Date: 07-07 at 00:53:48, iter: 41, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1106.45(10) mean: 1130.56, max: 1185.80
Date: 07-07 at 00:54:54, iter: 42, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1102.64(10) mean: 1124.04, max: 1188.89
Date: 07-07 at 00:56:04, iter: 43, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1102.62(10) mean: 1150.92, max: 1215.24
Date: 07-07 at 00:57:30, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1102.62(10) mean: 1126.55, max: 1189.88
Date: 07-07 at 00:58:40, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1102.62(10) mean: 1125.09, max: 1218.88
Date: 07-07 at 00:59:58, iter: 46, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1114.55, max: 1174.14
Date: 07-07 at 01:00:59, iter: 47, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1120.31, max: 1179.44
Date: 07-07 at 01:02:06, iter: 48, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1111.76, max: 1171.82
Date: 07-07 at 01:03:10, iter: 49, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1114.14, max: 1171.82
Date: 07-07 at 01:04:18, iter: 50, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1152.20, max: 1221.21
Date: 07-07 at 01:05:24, iter: 52, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1307.31, max: 1585.06
Date: 07-07 at 01:06:33, iter: 53, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1192.11, max: 1497.87
Date: 07-07 at 01:07:45, iter: 54, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1101.56(10) mean: 1221.14, max: 1519.74
Date: 07-07 at 01:08:54, iter: 55, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1098.78(9) mean: 1144.32, max: 1368.40
Date: 07-07 at 01:09:59, iter: 56, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1095.12(9) mean: 1153.23, max: 1379.82
Date: 07-07 at 01:11:21, iter: 57, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1089.99(9) mean: 1129.03, max: 1212.12
Date: 07-07 at 01:12:28, iter: 58, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1089.72(9) mean: 1118.72, max: 1151.42
Date: 07-07 at 01:13:40, iter: 59, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1089.72(9) mean: 1113.88, max: 1174.52
Date: 07-07 at 01:14:48, iter: 60, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1089.72(9) mean: 1110.89, max: 1138.83
Date: 07-07 at 01:16:00, iter: 61, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1083.31(9) mean: 1108.03, max: 1143.14
Date: 07-07 at 01:17:06, iter: 62, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1081.12(8) mean: 1093.82, max: 1112.54
Date: 07-07 at 01:18:22, iter: 63, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1073.44(8) mean: 1096.85, max: 1125.27
Date: 07-07 at 01:19:39, iter: 64, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1073.44(8) mean: 1090.76, max: 1124.75
Date: 07-07 at 01:20:37, iter: 65, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1073.44(8) mean: 1108.35, max: 1144.05
Date: 07-07 at 01:21:34, iter: 66, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1082.48, max: 1101.78
Date: 07-07 at 01:22:40, iter: 67, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1082.45, max: 1101.78
Date: 07-07 at 01:23:49, iter: 68, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1084.17, max: 1124.50
Date: 07-07 at 01:25:12, iter: 69, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1078.05, max: 1101.71
Date: 07-07 at 01:26:33, iter: 70, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1077.83, max: 1101.71
Date: 07-07 at 01:27:44, iter: 72, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1377.43, max: 1743.86
Date: 07-07 at 01:28:46, iter: 73, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1190.01, max: 1619.49
Date: 07-07 at 01:29:49, iter: 74, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1137.84, max: 1241.77
Date: 07-07 at 01:31:05, iter: 75, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1137.85, max: 1262.68
Date: 07-07 at 01:32:05, iter: 77, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1310.83, max: 1518.14
Date: 07-07 at 01:33:18, iter: 78, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1208.78, max: 1461.59
Date: 07-07 at 01:34:21, iter: 79, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1164.84, max: 1364.65
Date: 07-07 at 01:35:27, iter: 80, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1178.20, max: 1363.75
Date: 07-07 at 01:36:28, iter: 82, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1331.23, max: 1603.50
Date: 07-07 at 01:37:27, iter: 83, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1171.63, max: 1326.14
Date: 07-07 at 01:38:25, iter: 84, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1158.25, max: 1307.49
Date: 07-07 at 01:39:28, iter: 85, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1071.88(8) mean: 1165.84, max: 1356.38
