Date: 11-07 at 21:55:19, #particle: 15, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1246.96(9), mean: 1355.53, max: 1552.03
Date: 11-07 at 21:56:31, #particle: 15, iter: 38, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1246.96(9), mean: 1289.24, max: 1365.18
Date: 11-07 at 21:57:40, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1245.68(9), mean: 1268.27, max: 1335.57
Date: 11-07 at 21:58:49, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1266.19, max: 1303.31
Date: 11-07 at 22:00:01, #particle: 15, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1265.05, max: 1306.57
Date: 11-07 at 22:01:10, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1269.73, max: 1346.52
Date: 11-07 at 22:02:17, #particle: 15, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1260.41, max: 1308.08
Date: 11-07 at 22:03:25, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1258.23, max: 1303.53
Date: 11-07 at 22:04:37, #particle: 15, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1535.47, max: 1816.42
Date: 11-07 at 22:05:40, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1244.67(9), mean: 1417.01, max: 1761.17
Date: 11-07 at 22:06:48, #particle: 15, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1233.17(8), mean: 1322.03, max: 1458.07
Date: 11-07 at 22:07:58, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1232.51(8), mean: 1291.27, max: 1377.25
Date: 11-07 at 22:08:59, #particle: 15, iter: 50, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1232.18(8), mean: 1324.94, max: 1417.31
Date: 11-07 at 22:10:11, #particle: 15, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1231.46(8), mean: 1274.44, max: 1408.46
Date: 11-07 at 22:11:20, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1227.75(8), mean: 1259.05, max: 1330.27
