Date: 01-13 at 13:24:39, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1370.46(5), mean: 3707.42, max: 4627.01
Date: 01-13 at 13:26:20, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1243.45(10), mean: 1841.24, max: 3585.60
Date: 01-13 at 13:28:01, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1208.32(10), mean: 1609.63, max: 3015.79
Date: 01-13 at 13:29:45, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1199.56(10), mean: 1627.01, max: 3030.79
Date: 01-13 at 13:31:34, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1197.70(10), mean: 1674.65, max: 2977.69
Date: 01-13 at 13:33:25, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1197.70(10), mean: 1705.70, max: 2898.85
Date: 01-13 at 13:35:13, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1182.95(9), mean: 1459.24, max: 2485.89
Date: 01-13 at 13:37:02, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1146.01(9), mean: 1397.42, max: 1697.20
Date: 01-13 at 13:38:56, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1141.66(8), mean: 1390.41, max: 1705.64
Date: 01-13 at 13:40:48, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1141.66(8), mean: 1268.69, max: 1397.85
Date: 01-13 at 13:42:43, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1141.66(8), mean: 1279.42, max: 1463.81
Date: 01-13 at 13:44:43, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1112.08(8), mean: 1278.05, max: 1439.40
Date: 01-13 at 13:46:41, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.91(8), mean: 1273.31, max: 1454.66
Date: 01-13 at 13:48:44, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1298.58, max: 1486.36
Date: 01-13 at 13:50:47, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1274.61, max: 1460.49
Date: 01-13 at 13:52:54, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1323.96, max: 1520.36
Date: 01-13 at 13:54:52, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1204.33, max: 1380.78
Date: 01-13 at 13:56:57, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1245.99, max: 1418.75
Date: 01-13 at 13:59:01, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1414.43, max: 1766.80
Date: 01-13 at 14:01:05, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1253.87, max: 1624.90
Date: 01-13 at 14:03:13, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1105.17(8), mean: 1261.41, max: 1654.81
Date: 01-13 at 14:05:12, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1096.08(8), mean: 1173.79, max: 1311.36
Date: 01-13 at 14:07:26, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1072.47(8), mean: 1222.82, max: 1368.89
Date: 01-13 at 14:09:42, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.94(8), mean: 1248.31, max: 1418.54
Date: 01-13 at 14:11:59, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1160.97, max: 1272.00
Date: 01-13 at 14:14:18, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1175.81, max: 1335.23
Date: 01-13 at 14:16:40, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1238.91, max: 1345.48
Date: 01-13 at 14:18:58, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1217.15, max: 1400.85
Date: 01-13 at 14:21:16, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1186.92, max: 1280.12
Date: 01-13 at 14:23:26, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1408.79, max: 1644.50
Date: 01-13 at 14:25:26, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1213.26, max: 1451.57
Date: 01-13 at 14:27:27, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1150.99, max: 1235.83
Date: 01-13 at 14:29:36, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1068.33(8), mean: 1155.64, max: 1272.48
Date: 01-13 at 14:31:34, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1048.36(8), mean: 1373.15, max: 1704.60
Date: 01-13 at 14:33:35, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: false, Khoo: 966.08, best obj: 1031.58(8), mean: 1325.96, max: 1706.35
