Date: 01-09 at 19:32:23, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1368.11(15), mean: 2398.76, max: 2811.26
Date: 01-09 at 19:33:22, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1295.03(15), mean: 2284.77, max: 2727.11
Date: 01-09 at 19:34:20, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1244.30(15), mean: 2250.06, max: 2710.40
Date: 01-09 at 19:35:17, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1215.84(14), mean: 2153.46, max: 2673.72
Date: 01-09 at 19:36:20, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 2133.85, max: 2640.10
Date: 01-09 at 19:37:28, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1722.38, max: 2604.41
Date: 01-09 at 19:38:21, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1743.41, max: 2502.56
Date: 01-09 at 19:39:18, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1783.29, max: 2541.75
Date: 01-09 at 19:40:30, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1330.28, max: 1507.04
Date: 01-09 at 19:41:26, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 2207.42, max: 2535.01
Date: 01-09 at 19:42:28, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1326.28, max: 1387.59
Date: 01-09 at 19:43:24, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1214.95(14), mean: 1350.24, max: 1432.43
Date: 01-09 at 19:44:23, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1201.63(14), mean: 1277.07, max: 1344.99
Date: 01-09 at 19:45:17, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.72(14), mean: 1320.38, max: 1380.77
Date: 01-09 at 19:46:13, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1356.67, max: 1439.57
Date: 01-09 at 19:47:04, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1355.87, max: 1438.13
Date: 01-09 at 19:48:07, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1260.31, max: 1297.74
Date: 01-09 at 19:49:00, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1289.09, max: 1341.99
Date: 01-09 at 19:49:53, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1332.74, max: 1404.18
Date: 01-09 at 19:50:49, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 2101.53, max: 2537.50
Date: 01-09 at 19:51:53, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1343.01, max: 1423.00
Date: 01-09 at 19:52:53, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1281.37, max: 1361.98
Date: 01-09 at 19:53:54, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1308.57, max: 1434.91
Date: 01-09 at 19:54:48, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 2150.93, max: 2682.28
Date: 01-09 at 19:55:55, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1196.39(14), mean: 1369.07, max: 1426.77
