Date: 07-07 at 22:06:32, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1328.99(9) mean: 2304.12, max: 3051.40
Date: 07-07 at 22:08:05, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1281.19(9) mean: 2184.35, max: 2840.89
Date: 07-07 at 22:09:37, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1272.97(9) mean: 2057.34, max: 2778.81
Date: 07-07 at 22:11:12, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1272.97(9) mean: 1957.83, max: 2538.01
Date: 07-07 at 22:12:50, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1272.97(9) mean: 1696.34, max: 2253.93
Date: 07-07 at 22:14:24, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1272.97(9) mean: 1626.88, max: 2057.56
Date: 07-07 at 22:15:59, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1255.94(10) mean: 1327.56, max: 1542.70
Date: 07-07 at 22:17:37, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1238.69(10) mean: 1355.13, max: 1588.07
Date: 07-07 at 22:19:16, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1237.71(10) mean: 1433.41, max: 1685.50
Date: 07-07 at 22:20:50, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1216.51(10) mean: 1365.98, max: 1577.69
Date: 07-07 at 22:22:27, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1192.07(10) mean: 1423.49, max: 1577.71
Date: 07-07 at 22:23:59, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1192.07(10) mean: 1291.62, max: 1500.94
Date: 07-07 at 22:25:35, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1192.07(10) mean: 1322.70, max: 1533.27
Date: 07-07 at 22:27:17, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1192.07(10) mean: 1339.37, max: 1561.89
Date: 07-07 at 22:28:54, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1192.07(10) mean: 1321.52, max: 1454.60
Date: 07-07 at 22:30:31, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1171.93(10) mean: 1434.87, max: 1809.43
