Date: 01-14 at 23:41:03, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 1094.14(4), mean: 3150.24, max: 3626.13
Date: 01-14 at 23:42:04, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 917.52(4), mean: 2000.11, max: 3207.03
Date: 01-14 at 23:43:00, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 904.85(4), mean: 1416.70, max: 2284.37
Date: 01-14 at 23:43:59, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 896.00(4), mean: 1324.39, max: 2057.87
Date: 01-14 at 23:44:53, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 896.00(4), mean: 988.81, max: 1214.85
Date: 01-14 at 23:45:51, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 896.00(4), mean: 1008.01, max: 1114.06
Date: 01-14 at 23:46:45, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 896.00(4), mean: 1059.33, max: 1157.11
Date: 01-14 at 23:47:39, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 875.93(4), mean: 903.58, max: 924.72
Date: 01-14 at 23:48:31, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 872.61(4), mean: 968.52, max: 1002.73
Date: 01-14 at 23:49:24, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 872.61(4), mean: 916.41, max: 982.12
Date: 01-14 at 23:50:15, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 863.18(5), mean: 890.36, max: 924.98
Date: 01-14 at 23:51:11, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 831.16(5), mean: 892.22, max: 939.99
Date: 01-14 at 23:52:03, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 825.40(5), mean: 906.79, max: 956.01
Date: 01-14 at 23:52:54, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 825.20, max: 833.17
Date: 01-14 at 23:53:45, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 837.35, max: 897.57
Date: 01-14 at 23:54:38, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 836.26, max: 899.14
Date: 01-14 at 23:55:29, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 825.88, max: 885.86
Date: 01-14 at 23:56:22, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 820.30, max: 826.50
Date: 01-14 at 23:57:18, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 818.37(4), mean: 1021.01, max: 1212.33
Date: 01-14 at 23:58:11, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 817.04(4), mean: 856.65, max: 965.88
Date: 01-14 at 23:59:04, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 804.68(4), mean: 890.77, max: 995.95
Date: 01-14 at 23:59:55, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 804.68(4), mean: 913.01, max: 1031.01
Date: 01-15 at 00:00:48, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 804.68(4), mean: 940.39, max: 1057.22
Date: 01-15 at 00:01:39, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 801.97(4), mean: 827.46, max: 864.27
Date: 01-15 at 00:02:34, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 787.16(4), mean: 905.20, max: 971.22
Date: 01-15 at 00:03:27, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 787.16(4), mean: 928.32, max: 1003.66
Date: 01-15 at 00:04:18, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 787.16(4), mean: 815.22, max: 837.06
Date: 01-15 at 00:05:13, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 787.16(4), mean: 807.97, max: 836.24
Date: 01-15 at 00:06:05, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 787.16(4), mean: 834.84, max: 862.75
Date: 01-15 at 00:06:59, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 781.36(4), mean: 1014.92, max: 1356.11
Date: 01-15 at 00:07:49, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 768.60(5), mean: 895.36, max: 1330.78
Date: 01-15 at 00:08:43, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 831.71, max: 1003.39
Date: 01-15 at 00:09:35, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 819.61, max: 985.89
Date: 01-15 at 00:10:27, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 775.76, max: 839.07
Date: 01-15 at 00:11:25, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 771.04, max: 799.90
Date: 01-15 at 00:12:15, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 769.60, max: 796.32
Date: 01-15 at 00:13:10, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 765.03(5), mean: 947.14, max: 1203.94
Date: 01-15 at 00:14:03, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 764.21(4), mean: 847.53, max: 1028.14
Date: 01-15 at 00:14:57, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 764.12(4), mean: 870.78, max: 1054.43
Date: 01-15 at 00:15:48, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 764.12(4), mean: 796.34, max: 863.88
Date: 01-15 at 00:16:41, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 764.12(4), mean: 807.66, max: 861.44
Date: 01-15 at 00:17:33, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: false, Khoo: 705.33, best obj: 764.12(4), mean: 793.30, max: 880.92
