Date: 12-18 at 15:05:02, #particle: 15, iter: 36, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1091.74, max: 1122.97
Date: 12-18 at 15:05:56, #particle: 15, iter: 37, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1101.63, max: 1143.36
Date: 12-18 at 15:06:56, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1072.20, max: 1121.56
Date: 12-18 at 15:07:53, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1067.17, max: 1124.98
Date: 12-18 at 15:08:52, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1062.04, max: 1077.07
Date: 12-18 at 15:09:47, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1029.02(12), mean: 1069.80, max: 1097.12
Date: 12-18 at 15:10:47, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1033.92, max: 1045.33
Date: 12-18 at 15:11:41, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1030.36, max: 1041.91
Date: 12-18 at 15:12:37, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1029.58, max: 1031.43
Date: 12-18 at 15:13:34, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1047.59, max: 1075.29
Date: 12-18 at 15:14:26, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1047.96, max: 1109.69
Date: 12-18 at 15:15:20, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1028.78(12), mean: 1038.25, max: 1073.21
