Date: 11-09 at 16:37:23, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1829.01(24), mean: 2389.01, max: 2856.39
Date: 11-09 at 16:38:45, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1752.39(22), mean: 2412.64, max: 2857.46
Date: 11-09 at 16:40:11, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1749.93(22), mean: 2440.52, max: 2890.94
Date: 11-09 at 16:41:47, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1749.93(22), mean: 2234.33, max: 2833.81
Date: 11-09 at 16:43:20, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 2146.33, max: 2818.31
Date: 11-09 at 16:44:55, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 2033.25, max: 2747.53
Date: 11-09 at 16:46:41, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 1801.86, max: 1947.50
Date: 11-09 at 16:48:02, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 1846.94, max: 2002.41
Date: 11-09 at 16:49:31, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 1881.57, max: 2046.67
Date: 11-09 at 16:51:06, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1727.42(22), mean: 1953.98, max: 2142.89
Date: 11-09 at 16:52:52, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.86(21), mean: 1809.41, max: 2030.31
Date: 11-09 at 16:54:23, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1841.57, max: 1922.79
Date: 11-09 at 16:55:46, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1876.09, max: 1974.79
Date: 11-09 at 16:57:08, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1931.55, max: 2024.71
Date: 11-09 at 16:58:52, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1859.03, max: 2056.50
Date: 11-09 at 17:00:30, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1812.39, max: 1971.00
Date: 11-09 at 17:01:58, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1859.31, max: 1978.73
Date: 11-09 at 17:03:35, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1822.37, max: 2024.21
Date: 11-09 at 17:05:02, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1719.34(21), mean: 1826.73, max: 2024.85
Date: 11-09 at 17:06:38, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1717.53(22), mean: 1794.46, max: 1894.83
Date: 11-09 at 17:08:21, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1715.51(22), mean: 1754.80, max: 1827.00
Date: 11-09 at 17:09:54, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1711.82(22), mean: 1756.83, max: 1824.21
Date: 11-09 at 17:11:29, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1705.70(22), mean: 1763.35, max: 1824.21
Date: 11-09 at 17:13:01, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1705.70(22), mean: 1787.98, max: 1868.58
Date: 11-09 at 17:14:40, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1705.70(22), mean: 1767.11, max: 1854.17
Date: 11-09 at 17:16:03, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1705.70(22), mean: 1821.83, max: 1923.52
Date: 11-09 at 17:17:35, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.85(22), mean: 1806.97, max: 1901.80
Date: 11-09 at 17:19:09, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.85(22), mean: 1794.18, max: 1964.00
Date: 11-09 at 17:20:49, #particle: 15, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1746.43, max: 1789.21
Date: 11-09 at 17:22:24, #particle: 15, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1757.63, max: 1851.81
Date: 11-09 at 17:23:51, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1776.40, max: 1905.26
Date: 11-09 at 17:25:30, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1750.81, max: 1854.33
Date: 11-09 at 17:27:11, #particle: 15, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1724.56, max: 1760.37
Date: 11-09 at 17:28:50, #particle: 15, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1743.79, max: 1822.74
Date: 11-09 at 17:30:19, #particle: 15, iter: 38, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1703.26(22), mean: 1767.21, max: 1879.27
Date: 11-09 at 17:31:57, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1699.64(21), mean: 1739.06, max: 1867.78
Date: 11-09 at 17:33:36, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1723.73, max: 1761.58
Date: 11-09 at 17:35:02, #particle: 15, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1736.57, max: 1783.88
Date: 11-09 at 17:36:45, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1724.13, max: 1774.27
Date: 11-09 at 17:38:20, #particle: 15, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1725.84, max: 1774.27
Date: 11-09 at 17:40:03, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1722.82, max: 1774.27
Date: 11-09 at 17:41:32, #particle: 15, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1795.43, max: 1968.33
Date: 11-09 at 17:43:13, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1688.11(21), mean: 1718.93, max: 1763.95
Date: 11-09 at 17:44:52, #particle: 15, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1684.62(22), mean: 1708.46, max: 1752.02
Date: 11-09 at 17:46:26, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1684.62(22), mean: 1719.51, max: 1793.10
Date: 11-09 at 17:47:49, #particle: 15, iter: 50, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1684.62(22), mean: 1743.81, max: 1818.49
Date: 11-09 at 17:49:21, #particle: 15, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1680.62(22), mean: 1723.33, max: 1823.56
Date: 11-09 at 17:51:04, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59, best obj: 1680.62(22), mean: 1705.62, max: 1745.31
