Date: 11-02 at 11:28:17, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1506.37(16), mean: 2323.29, max: 3007.75
Date: 11-02 at 11:29:32, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1376.05(16), mean: 2015.86, max: 2960.14
Date: 11-02 at 11:30:37, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1368.44(16), mean: 1899.87, max: 2894.20
Date: 11-02 at 11:31:45, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1361.71(16), mean: 1852.64, max: 2792.11
Date: 11-02 at 11:33:10, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1361.71(16), mean: 1452.78, max: 1528.11
Date: 11-02 at 11:34:15, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1354.01(16), mean: 1462.88, max: 1557.06
Date: 11-02 at 11:35:19, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1352.42(16), mean: 1488.92, max: 1613.71
Date: 11-02 at 11:36:31, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1348.81(15), mean: 1486.36, max: 1626.62
Date: 11-02 at 11:37:35, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1348.81(15), mean: 1541.49, max: 1674.30
Date: 11-02 at 11:38:45, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1329.62(15), mean: 1503.87, max: 1706.91
Date: 11-02 at 11:39:59, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1503.88, max: 1746.72
Date: 11-02 at 11:41:13, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1559.08, max: 1803.59
Date: 11-02 at 11:42:14, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1598.34, max: 1843.40
Date: 11-02 at 11:43:26, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1478.25, max: 1736.87
Date: 11-02 at 11:44:43, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1394.76, max: 1452.39
Date: 11-02 at 11:45:54, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1370.09, max: 1449.42
Date: 11-02 at 11:47:04, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1396.50, max: 1445.38
Date: 11-02 at 11:48:13, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1322.48(15), mean: 1440.57, max: 1514.69
Date: 11-02 at 11:49:21, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1312.76(16), mean: 1376.43, max: 1503.06
Date: 11-02 at 11:50:30, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1387.45, max: 1524.31
Date: 11-02 at 11:51:39, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1361.02, max: 1436.93
Date: 11-02 at 11:52:47, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1343.72, max: 1380.62
Date: 11-02 at 11:54:00, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1338.91, max: 1380.62
Date: 11-02 at 11:55:10, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1336.56, max: 1385.57
Date: 11-02 at 11:56:17, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1346.04, max: 1419.18
Date: 11-02 at 11:57:25, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1338.79, max: 1369.71
Date: 11-02 at 11:58:35, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1370.42, max: 1413.60
Date: 11-02 at 11:59:46, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.08(15), mean: 1346.71, max: 1430.08
