Date: 11-20 at 05:05:18, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 1122.78(8), mean: 3086.73, max: 3832.82
Date: 11-20 at 05:06:16, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 1073.34(6), mean: 2487.38, max: 3634.37
Date: 11-20 at 05:07:08, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 934.45(6), mean: 2219.71, max: 3291.26
Date: 11-20 at 05:08:01, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 900.36(6), mean: 2148.04, max: 3104.10
Date: 11-20 at 05:08:58, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 875.82(5), mean: 1789.12, max: 2620.79
Date: 11-20 at 05:09:59, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 853.43(8), mean: 1764.11, max: 2608.36
Date: 11-20 at 05:10:53, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 799.57(7), mean: 1761.25, max: 2594.81
Date: 11-20 at 05:11:49, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 786.89(7), mean: 1372.42, max: 2058.35
Date: 11-20 at 05:12:55, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 786.89(7), mean: 898.10, max: 1057.92
Date: 11-20 at 05:13:48, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 786.89(7), mean: 921.87, max: 1056.74
Date: 11-20 at 05:14:42, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 786.89(7), mean: 978.12, max: 1122.68
Date: 11-20 at 05:15:41, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 759.32(7), mean: 881.99, max: 1047.87
Date: 11-20 at 05:16:35, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 759.32(7), mean: 890.11, max: 1060.80
Date: 11-20 at 05:17:30, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 759.32(7), mean: 912.77, max: 1085.19
Date: 11-20 at 05:18:30, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 759.32(7), mean: 863.89, max: 1016.70
Date: 11-20 at 05:19:25, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 759.32(7), mean: 839.21, max: 932.82
Date: 11-20 at 05:20:21, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 816.73, max: 885.92
Date: 11-20 at 05:21:17, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 794.30, max: 885.92
Date: 11-20 at 05:22:09, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 795.57, max: 885.92
Date: 11-20 at 05:23:03, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 793.79, max: 885.92
Date: 11-20 at 05:23:58, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 793.76, max: 885.92
Date: 11-20 at 05:24:55, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 793.76, max: 885.92
Date: 11-20 at 05:25:44, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 856.71, max: 954.86
Date: 11-20 at 05:26:41, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 792.72, max: 886.45
Date: 11-20 at 05:27:40, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 791.79, max: 886.45
Date: 11-20 at 05:28:33, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 791.73, max: 886.45
Date: 11-20 at 05:29:24, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.88, best obj: 728.13(6), mean: 840.80, max: 954.43
