Date: 07-05 at 03:07:15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1658.98(12) mean: 3122.60, max: 4404.83
Date: 07-05 at 03:09:00, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1552.75(12) mean: 2777.75, max: 4042.01
Date: 07-05 at 03:10:46, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1529.17(12) mean: 2566.77, max: 3688.68
Date: 07-05 at 03:12:36, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1529.17(12) mean: 2517.56, max: 3627.47
Date: 07-05 at 03:14:29, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1529.17(12) mean: 2284.91, max: 3299.71
Date: 07-05 at 03:16:17, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1521.36(12) mean: 2049.20, max: 2797.87
Date: 07-05 at 03:18:10, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1485.28(12) mean: 2058.31, max: 2799.31
Date: 07-05 at 03:19:58, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1475.35(12) mean: 1730.02, max: 2219.31
Date: 07-05 at 03:21:46, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1475.35(12) mean: 1620.64, max: 1824.50
Date: 07-05 at 03:23:34, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1437.22(11) mean: 1503.96, max: 1582.92
Date: 07-05 at 03:25:20, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1437.22(11) mean: 1542.36, max: 1620.52
Date: 07-05 at 03:27:10, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1437.22(11) mean: 1572.39, max: 1675.14
Date: 07-05 at 03:28:59, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1437.22(11) mean: 1502.19, max: 1683.01
Date: 07-05 at 03:30:50, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1412.27(11) mean: 1484.14, max: 1527.34
Date: 07-05 at 03:32:33, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1405.39(11) mean: 1488.08, max: 1605.58
Date: 07-05 at 03:34:21, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1405.39(11) mean: 1479.87, max: 1523.89
Date: 07-05 at 03:36:11, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1405.39(11) mean: 1491.27, max: 1556.43
Date: 07-05 at 03:38:02, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1405.39(11) mean: 1443.69, max: 1483.55
