Date: 11-17 at 04:08:10, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1287.39(11), mean: 2810.09, max: 4241.35
Date: 11-17 at 04:09:18, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1149.10(9), mean: 2493.64, max: 3793.91
Date: 11-17 at 04:10:19, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1142.67(9), mean: 2434.84, max: 3701.31
Date: 11-17 at 04:11:32, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1134.70(9), mean: 1324.13, max: 1591.70
Date: 11-17 at 04:12:36, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1358.22, max: 1617.91
Date: 11-17 at 04:13:36, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1380.14, max: 1537.58
Date: 11-17 at 04:14:37, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1431.41, max: 1578.72
Date: 11-17 at 04:15:49, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1284.27, max: 1548.31
Date: 11-17 at 04:16:54, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1252.35, max: 1384.28
Date: 11-17 at 04:18:05, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1227.75, max: 1335.72
Date: 11-17 at 04:19:08, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1241.66, max: 1404.70
Date: 11-17 at 04:20:09, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1288.38, max: 1443.23
Date: 11-17 at 04:21:21, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1250.30, max: 1354.30
Date: 11-17 at 04:22:30, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1253.85, max: 1378.64
Date: 11-17 at 04:23:40, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 966.08, best obj: 1130.72(9), mean: 1236.61, max: 1339.81
