Date: 08-02 at 01:40:41, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1291.14, max: 2162.99
Date: 08-02 at 01:41:28, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 956.84, max: 1118.72
Date: 08-02 at 01:42:13, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 889.76, max: 935.09
Date: 08-02 at 01:43:00, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 849.09, max: 866.84
Date: 08-02 at 01:43:43, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 863.69, max: 919.69
Date: 08-02 at 01:44:26, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 848.98, max: 936.00
Date: 08-02 at 01:45:13, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 3015.15, max: 3782.44
Date: 08-02 at 01:46:03, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 2423.57, max: 3376.06
Date: 08-02 at 01:46:49, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 2142.35, max: 3088.34
Date: 08-02 at 01:47:40, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1039.37, max: 1216.09
Date: 08-02 at 01:48:27, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1052.80, max: 1147.97
Date: 08-02 at 01:49:10, #particle: 15, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1071.96, max: 1192.79
Date: 08-02 at 01:50:00, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 970.45, max: 1040.82
Date: 08-02 at 01:50:44, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 1014.86, max: 1130.86
Date: 08-02 at 01:51:32, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 735.8, best obj: 830.73(5), mean: 965.41, max: 1066.61
