Date: 02-07 at 00:59:37, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 4100.58(5), mean: 9212.82, max: 10995.87
Date: 02-07 at 01:09:52, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3767.77(8), mean: 7751.70, max: 9779.82
Date: 02-07 at 01:21:38, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3355.59(8), mean: 7089.94, max: 9325.07
Date: 02-07 at 01:32:38, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3091.65(8), mean: 6728.18, max: 8690.85
Date: 02-07 at 01:43:54, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3057.83(8), mean: 6857.76, max: 8857.37
Date: 02-07 at 01:55:51, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.90(8), mean: 5975.33, max: 8070.19
Date: 02-07 at 02:08:30, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 5318.48, max: 7724.06
Date: 02-07 at 02:20:44, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 4588.81, max: 6836.29
Date: 02-07 at 02:33:38, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 3769.95, max: 5808.10
Date: 02-07 at 02:45:38, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 3739.60, max: 5795.62
Date: 02-07 at 02:57:44, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 3669.81, max: 4068.22
Date: 02-07 at 03:11:34, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 8577.85, max: 10224.45
Date: 02-07 at 03:23:43, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 5229.44, max: 9109.34
Date: 02-07 at 03:34:20, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 4568.07, max: 7589.41
Date: 02-07 at 03:46:15, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3049.30(8), mean: 4465.78, max: 6906.94
Date: 02-07 at 03:59:57, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 3033.72(8), mean: 8373.42, max: 10311.04
Date: 02-07 at 04:11:21, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 2451.14, best obj: 2864.58(8), mean: 7423.65, max: 9569.78
