Date: 07-21 at 03:30:42, #particle: 5, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1736.24(13), mean: 2103.48, max: 3512.66
Date: 07-21 at 03:31:02, #particle: 5, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1417.31(10), mean: 1662.35, max: 1810.22
Date: 07-21 at 03:31:18, #particle: 5, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1371.06(10), mean: 1654.87, max: 1824.99
Date: 07-21 at 03:31:34, #particle: 5, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1366.01(10), mean: 1662.44, max: 1803.10
Date: 07-21 at 03:31:54, #particle: 5, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1365.98(10), mean: 1609.99, max: 1791.87
Date: 07-21 at 03:32:10, #particle: 5, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1365.98(10), mean: 1553.53, max: 1807.74
Date: 07-21 at 03:32:28, #particle: 5, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1346.84(10), mean: 1533.40, max: 1822.51
Date: 07-21 at 03:32:47, #particle: 5, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1340.76(10), mean: 1481.94, max: 1563.36
Date: 07-21 at 03:33:05, #particle: 5, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1322.41(10), mean: 1501.22, max: 1581.80
Date: 07-21 at 03:33:24, #particle: 5, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1322.41(10), mean: 1450.23, max: 1559.44
Date: 07-21 at 03:33:45, #particle: 5, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1322.41(10), mean: 1412.31, max: 1510.49
Date: 07-21 at 03:34:03, #particle: 5, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1320.47(10), mean: 1375.20, max: 1527.06
Date: 07-21 at 03:34:22, #particle: 5, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1320.47(10), mean: 1333.61, max: 1361.31
Date: 07-21 at 03:34:40, #particle: 5, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1357.31, max: 1403.69
Date: 07-21 at 03:34:57, #particle: 5, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1363.71, max: 1412.81
Date: 07-21 at 03:35:15, #particle: 5, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1363.53, max: 1424.11
Date: 07-21 at 03:35:34, #particle: 5, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1334.37, max: 1415.81
Date: 07-21 at 03:35:52, #particle: 5, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1360.43, max: 1429.63
Date: 07-21 at 03:36:11, #particle: 5, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1318.51, max: 1361.44
Date: 07-21 at 03:36:29, #particle: 5, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1322.72, max: 1386.31
Date: 07-21 at 03:36:48, #particle: 5, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1300.14, max: 1321.35
Date: 07-21 at 03:37:08, #particle: 5, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1294.77, max: 1307.63
Date: 07-21 at 03:37:30, #particle: 5, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1286.97, max: 1307.63
Date: 07-21 at 03:37:50, #particle: 5, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1286.97, max: 1307.63
Date: 07-21 at 03:38:07, #particle: 5, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1332.90, max: 1366.67
Date: 07-21 at 03:38:26, #particle: 5, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1352.49, max: 1396.87
Date: 07-21 at 03:38:43, #particle: 5, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1311.65, max: 1338.10
Date: 07-21 at 03:39:04, #particle: 5, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1314.82, max: 1334.26
Date: 07-21 at 03:39:22, #particle: 5, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1307.28, max: 1367.69
Date: 07-21 at 03:39:43, #particle: 5, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1276.40(10), mean: 1300.57, max: 1318.30
Date: 07-21 at 03:40:00, #particle: 5, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1299.60, max: 1332.83
Date: 07-21 at 03:40:18, #particle: 5, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1298.53, max: 1327.48
Date: 07-21 at 03:40:37, #particle: 5, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1297.68, max: 1324.96
Date: 07-21 at 03:40:56, #particle: 5, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1281.74, max: 1302.05
Date: 07-21 at 03:41:16, #particle: 5, iter: 35, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1282.79, max: 1302.05
Date: 07-21 at 03:41:37, #particle: 5, iter: 36, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1283.56, max: 1304.15
Date: 07-21 at 03:41:55, #particle: 5, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1315.76, max: 1347.34
Date: 07-21 at 03:42:16, #particle: 5, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1291.08, max: 1302.37
Date: 07-21 at 03:42:34, #particle: 5, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1296.98, max: 1347.54
Date: 07-21 at 03:42:55, #particle: 5, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1278.56, max: 1299.19
Date: 07-21 at 03:43:13, #particle: 5, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1296.85, max: 1329.70
Date: 07-21 at 03:43:35, #particle: 5, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1284.21, max: 1299.19
Date: 07-21 at 03:43:55, #particle: 5, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 1144.48, best obj: 1264.42(10), mean: 1279.69, max: 1299.19
