Date: 01-23 at 19:35:59, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1294.62(13), mean: 2167.10, max: 2568.99
Date: 01-23 at 19:36:55, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1215.96(13), mean: 2159.36, max: 2533.27
Date: 01-23 at 19:37:52, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1164.20(12), mean: 2065.77, max: 2473.97
Date: 01-23 at 19:38:50, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1162.02(12), mean: 2052.49, max: 2411.94
Date: 01-23 at 19:39:48, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1162.02(12), mean: 1739.58, max: 2424.63
Date: 01-23 at 19:40:45, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1157.27(14), mean: 1630.56, max: 2280.40
Date: 01-23 at 19:41:43, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1147.43(13), mean: 1604.01, max: 2258.23
Date: 01-23 at 19:42:42, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1147.43(13), mean: 1474.66, max: 2037.79
Date: 01-23 at 19:43:40, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1089.68(13), mean: 1402.90, max: 2000.22
Date: 01-23 at 19:44:38, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1071.13(12), mean: 1322.96, max: 1863.28
Date: 01-23 at 19:45:34, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1069.94(12), mean: 1293.50, max: 1532.67
Date: 01-23 at 19:46:33, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1069.94(12), mean: 1155.59, max: 1356.73
Date: 01-23 at 19:47:27, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1069.94(12), mean: 1185.99, max: 1409.77
Date: 01-23 at 19:48:26, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1069.94(12), mean: 1186.36, max: 1296.41
Date: 01-23 at 19:49:21, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1121.34, max: 1186.28
Date: 01-23 at 19:50:17, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1153.72, max: 1223.51
Date: 01-23 at 19:51:11, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1155.36, max: 1259.21
Date: 01-23 at 19:52:08, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1187.82, max: 1304.46
Date: 01-23 at 19:53:03, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1159.33, max: 1348.64
Date: 01-23 at 19:54:06, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1988.85, max: 2288.39
Date: 01-23 at 19:55:06, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1201.53, max: 1282.07
Date: 01-23 at 19:56:01, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1226.60, max: 1350.17
Date: 01-23 at 19:56:58, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1276.47, max: 1408.11
Date: 01-23 at 19:57:55, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1980.94, max: 2252.82
Date: 01-23 at 19:58:52, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 953.63, best obj: 1060.12(12), mean: 1231.27, max: 1343.79
