Date: 07-13 at 16:57:35, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 1342.62(4) mean: 3383.13, max: 4162.99
Date: 07-13 at 16:58:10, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 1078.38(4) mean: 2648.85, max: 3537.09
Date: 07-13 at 16:58:42, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 1018.26(4) mean: 1690.80, max: 2639.57
Date: 07-13 at 16:59:16, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 987.10(4) mean: 1225.96, max: 2112.54
Date: 07-13 at 16:59:50, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 931.68(7) mean: 1038.49, max: 1195.75
Date: 07-13 at 17:00:23, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 863.28(6) mean: 1082.27, max: 1226.74
Date: 07-13 at 17:00:52, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 824.11(6) mean: 1013.46, max: 1158.98
Date: 07-13 at 17:01:32, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 821.00(6) mean: 991.15, max: 1198.62
Date: 07-13 at 17:02:04, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 821.00(6) mean: 1008.63, max: 1226.20
Date: 07-13 at 17:02:44, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 821.00(6) mean: 979.89, max: 1101.32
Date: 07-13 at 17:03:16, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 821.00(6) mean: 904.20, max: 1006.71
Date: 07-13 at 17:03:51, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 788.74(7) mean: 856.95, max: 982.87
Date: 07-13 at 17:04:25, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 771.13(6) mean: 822.48, max: 874.03
Date: 07-13 at 17:04:59, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 745.88(5) mean: 791.73, max: 828.28
Date: 07-13 at 17:05:33, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 776.25, max: 808.79
Date: 07-13 at 17:06:13, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 769.85, max: 784.42
Date: 07-13 at 17:06:44, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 767.53, max: 771.13
Date: 07-13 at 17:07:10, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 744.11, max: 744.11
Date: 07-13 at 17:07:46, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 744.11, max: 744.11
Date: 07-13 at 17:08:15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 1015.51, max: 1258.90
Date: 07-13 at 17:08:48, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 744.11(5) mean: 914.10, max: 1232.61
Date: 07-13 at 17:09:21, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 743.01(5) mean: 789.55, max: 933.22
Date: 07-13 at 17:09:58, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 743.01(5) mean: 828.58, max: 991.21
Date: 07-13 at 17:10:31, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 715.60(5) mean: 792.92, max: 1014.64
Date: 07-13 at 17:10:57, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 714.55(5) mean: 720.11, max: 752.63
Date: 07-13 at 17:11:30, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 714.55(5) mean: 769.71, max: 810.03
Date: 07-13 at 17:11:59, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 714.55(5) mean: 797.02, max: 855.29
Date: 07-13 at 17:12:24, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 716.11, max: 723.25
Date: 07-13 at 17:12:49, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 714.69, max: 716.52
Date: 07-13 at 17:13:23, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 714.62, max: 715.60
Date: 07-13 at 17:13:54, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 714.61, max: 715.54
Date: 07-13 at 17:14:21, iter: 33, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 734.67, max: 759.57
Date: 07-13 at 17:15:01, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 712.03(5) mean: 908.99, max: 1358.58
Date: 07-13 at 17:15:34, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 664.17(4) mean: 856.05, max: 1331.77
Date: 07-13 at 17:16:06, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 659.73(4) mean: 714.77, max: 921.03
Date: 07-13 at 17:16:38, iter: 38, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 658.48(5) mean: 699.50, max: 869.84
Date: 07-13 at 17:17:03, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 658.48(5) mean: 692.62, max: 821.66
Date: 07-13 at 17:17:37, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 669.96, max: 764.55
Date: 07-13 at 17:18:00, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 642.20, max: 726.34
Date: 07-13 at 17:18:33, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 640.47, max: 727.16
Date: 07-13 at 17:19:07, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 638.40, max: 696.08
Date: 07-13 at 17:19:30, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 629.52, max: 629.52
Date: 07-13 at 17:20:05, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 751.57, max: 900.40
Date: 07-13 at 17:20:28, iter: 47, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 629.52(4) mean: 682.93, max: 829.16
Date: 07-13 at 17:20:51, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 591.56(3) mean: 640.58, max: 739.88
Date: 07-13 at 17:21:15, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.56 best obj: 591.56(3) mean: 634.28, max: 739.88
