Problem,Num_customer,NV,Opt,Our_NV,Our_floor,Our
C101,25,3.0,191.3,3,191.3,191.8
C102,25,3.0,190.3,3,190.3,190.7
C103,25,3.0,190.3,3,190.3,190.7
C104,25,3.0,186.9,3,186.9,187.4
C105,25,3.0,191.3,3,191.3,191.8
C106,25,3.0,191.3,3,191.3,191.8
C107,25,3.0,191.3,3,191.3,191.8
C108,25,3.0,191.3,3,191.3,191.8
C109,25,3.0,191.3,3,191.3,191.8
C201,25,2.0,214.7,2,214.7,215.5
C202,25,2.0,214.7,2,214.7,215.5
C203,25,2.0,214.7,2,239.4,240.4
C204,25,2.0,213.1,2,244.4,245.0
C205,25,2.0,214.7,2,214.7,215.5
C206,25,2.0,214.7,2,214.7,215.5
C207,25,2.0,214.5,1,291.0,291.7
C208,25,2.0,214.5,1,229.1,229.8
R101,25,8.0,617.1,8,617.1,618.3
R102,25,7.0,547.1,7,547.1,548.1
R103,25,5.0,454.6,5,454.6,455.7
R104,25,4.0,416.9,4,416.9,418.0
R105,25,6.0,530.5,6,530.5,531.5
R106,25,3.0,465.4,5,465.4,466.5
R107,25,4.0,424.3,5,430.8,431.8
R108,25,4.0,397.3,4,397.3,398.3
R109,25,5.0,441.3,5,441.3,442.6
R110,25,4.0,444.1,5,444.1,445.2
R111,25,5.0,428.8,4,428.8,429.7
R112,25,4.0,393.0,4,393.0,394.1
R201,25,4.0,463.3,4,463.3,464.4
R202,25,4.0,410.5,4,410.5,411.5
R203,25,3.0,391.4,3,425.0,394.7
R204,25,2.0,355.0,2,355.0,355.9
R205,25,3.0,393.0,3,393.0,394.1
R206,25,3.0,374.4,3,374.4,375.5
R207,25,3.0,361.6,2,372.2,373.1
R208,25,1.0,328.2,1,345.1,346.2
R209,25,2.0,370.7,3,380.9,382.1
R210,25,3.0,404.6,3,404.6,408.3
R211,25,2.0,350.9,3,379.4,380.5
RC101,25,4.0,461.1,5,515.6,516.7
RC102,25,3.0,351.8,3,351.8,352.7
RC103,25,3.0,332.8,3,332.8,333.9
RC104,25,3.0,306.6,3,306.6,307.1
RC105,25,4.0,411.3,4,415.1,416.2
RC106,25,3.0,345.5,3,345.5,346.5
RC107,25,3.0,298.3,3,298.3,298.9
RC108,25,3.0,294.5,3,294.5,295.0
RC201,25,3.0,360.2,3,360.2,361.2
RC202,25,3.0,338.0,3,338.0,338.8
RC203,25,3.0,326.9,3,326.9,327.7
RC204,25,3.0,299.7,1,458.0,458.8
RC205,25,3.0,338.0,3,338.0,338.9
RC206,25,3.0,324.0,2,369.1,370.2
RC207,25,3.0,298.3,3,298.3,298.9
RC208,25,2.0,269.1,2,269.1,269.6
