Date: 07-07 at 05:00:42, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1325.26, max: 1409.83
Date: 07-07 at 05:02:03, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1326.85, max: 1385.47
Date: 07-07 at 05:03:22, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1329.10, max: 1398.81
Date: 07-07 at 05:04:42, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1325.49, max: 1436.85
Date: 07-07 at 05:05:59, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1355.10, max: 1437.03
Date: 07-07 at 05:07:21, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1309.36, max: 1375.85
Date: 07-07 at 05:08:40, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1303.45, max: 1335.81
Date: 07-07 at 05:10:04, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1313.46, max: 1370.31
Date: 07-07 at 05:11:25, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1303.49, max: 1341.72
Date: 07-07 at 05:12:44, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1305.66, max: 1344.80
Date: 07-07 at 05:14:08, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1315.84, max: 1388.15
Date: 07-07 at 05:15:30, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1317.12, max: 1392.29
Date: 07-07 at 05:16:49, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1307.26, max: 1372.33
Date: 07-07 at 05:18:09, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1304.08, max: 1401.17
Date: 07-07 at 05:19:31, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1302.88, max: 1346.43
Date: 07-07 at 05:20:52, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1297.22, max: 1347.72
Date: 07-07 at 05:22:13, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1294.22, max: 1322.51
Date: 07-07 at 05:23:36, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1296.59, max: 1323.64
Date: 07-07 at 05:25:03, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1296.45, max: 1325.90
Date: 07-07 at 05:26:22, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1295.64, max: 1319.62
Date: 07-07 at 05:27:41, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1300.99, max: 1361.25
Date: 07-07 at 05:29:04, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1299.13, max: 1321.60
Date: 07-07 at 05:30:31, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1302.26, max: 1351.53
Date: 07-07 at 05:31:50, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1308.26, max: 1381.12
Date: 07-07 at 05:33:11, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1302.63, max: 1384.56
Date: 07-07 at 05:34:36, iter: 64, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1297.34, max: 1322.75
Date: 07-07 at 05:35:53, iter: 65, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1358.71, max: 1390.84
Date: 07-07 at 05:37:14, iter: 66, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1292.83, max: 1321.75
Date: 07-07 at 05:38:35, iter: 67, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1298.35, max: 1366.76
Date: 07-07 at 05:40:02, iter: 68, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1290.00, max: 1305.34
Date: 07-07 at 05:41:20, iter: 69, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1300.80, max: 1343.38
Date: 07-07 at 05:42:37, iter: 70, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.63(16) mean: 1305.28, max: 1357.20
Date: 07-07 at 05:44:04, iter: 71, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1273.48(16) mean: 1282.87, max: 1311.69
Date: 07-07 at 05:45:34, iter: 72, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1280.95, max: 1308.97
Date: 07-07 at 05:46:54, iter: 73, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1286.76, max: 1338.03
Date: 07-07 at 05:48:06, iter: 74, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1315.39, max: 1373.82
Date: 07-07 at 05:49:34, iter: 75, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1278.34, max: 1305.95
Date: 07-07 at 05:50:59, iter: 76, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1275.95, max: 1297.97
Date: 07-07 at 05:52:18, iter: 77, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1275.95, max: 1297.96
Date: 07-07 at 05:53:39, iter: 78, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1275.95, max: 1297.96
Date: 07-07 at 05:55:06, iter: 79, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1275.95, max: 1297.96
Date: 07-07 at 05:56:29, iter: 80, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1283.25, max: 1352.71
Date: 07-07 at 05:57:48, iter: 81, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1280.35, max: 1316.80
Date: 07-07 at 05:59:08, iter: 82, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1271.67(16) mean: 1286.97, max: 1366.46
Date: 07-07 at 06:00:32, iter: 83, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1284.98, max: 1387.67
Date: 07-07 at 06:01:57, iter: 84, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.41, max: 1308.97
Date: 07-07 at 06:03:14, iter: 85, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.18, max: 1308.97
Date: 07-07 at 06:04:34, iter: 86, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1281.66, max: 1322.33
Date: 07-07 at 06:05:59, iter: 87, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.75, max: 1307.01
Date: 07-07 at 06:07:28, iter: 88, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.75, max: 1307.01
Date: 07-07 at 06:08:39, iter: 89, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1298.39, max: 1341.94
Date: 07-07 at 06:10:03, iter: 90, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.50, max: 1308.97
Date: 07-07 at 06:11:27, iter: 91, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1292.00, max: 1349.11
Date: 07-07 at 06:12:49, iter: 92, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1280.79, max: 1308.47
Date: 07-07 at 06:14:09, iter: 93, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1280.11, max: 1307.01
Date: 07-07 at 06:15:32, iter: 94, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1281.99, max: 1309.76
Date: 07-07 at 06:16:58, iter: 95, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1282.07, max: 1332.33
Date: 07-07 at 06:18:09, iter: 96, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1324.90, max: 1384.43
Date: 07-07 at 06:19:36, iter: 97, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1281.61, max: 1307.46
Date: 07-07 at 06:21:03, iter: 98, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1279.03, max: 1304.16
Date: 07-07 at 06:22:27, iter: 99, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.92, max: 1304.16
Date: 07-07 at 06:23:47, iter: 100, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.92, max: 1304.16
Date: 07-07 at 06:25:07, iter: 101, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1287.92, max: 1305.76
Date: 07-07 at 06:26:32, iter: 102, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1281.50, max: 1317.39
Date: 07-07 at 06:27:54, iter: 103, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1285.69, max: 1320.52
Date: 07-07 at 06:29:14, iter: 104, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.17, max: 1301.62
Date: 07-07 at 06:30:37, iter: 105, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.16, max: 1301.40
Date: 07-07 at 06:32:05, iter: 106, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.16, max: 1301.40
Date: 07-07 at 06:33:27, iter: 107, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1280.12, max: 1305.76
Date: 07-07 at 06:34:47, iter: 108, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.82, max: 1299.16
Date: 07-07 at 06:36:11, iter: 109, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.82, max: 1299.16
Date: 07-07 at 06:37:36, iter: 110, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.82, max: 1299.16
Date: 07-07 at 06:39:00, iter: 111, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1277.82, max: 1299.16
Date: 07-07 at 06:40:21, iter: 112, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1276.22, max: 1299.16
Date: 07-07 at 06:41:46, iter: 113, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1276.11, max: 1299.16
Date: 07-07 at 06:43:12, iter: 114, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1276.51, max: 1299.67
Date: 07-07 at 06:44:34, iter: 115, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1278.07, max: 1312.39
Date: 07-07 at 06:45:56, iter: 116, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1275.06, max: 1299.17
Date: 07-07 at 06:47:17, iter: 117, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.40, max: 1299.16
Date: 07-07 at 06:48:43, iter: 118, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.40, max: 1299.16
Date: 07-07 at 06:50:05, iter: 119, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.43, max: 1299.81
Date: 07-07 at 06:51:27, iter: 120, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.35, max: 1299.16
Date: 07-07 at 06:52:48, iter: 121, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 06:54:13, iter: 122, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 06:55:40, iter: 123, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 06:56:58, iter: 124, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 06:58:19, iter: 125, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 06:59:44, iter: 126, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 07:01:11, iter: 127, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 07:02:28, iter: 128, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1272.60, max: 1299.16
Date: 07-07 at 07:03:48, iter: 129, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1274.02, max: 1320.50
Date: 07-07 at 07:05:11, iter: 130, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:06:35, iter: 131, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:08:00, iter: 132, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:09:20, iter: 133, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:10:41, iter: 134, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:12:06, iter: 135, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:13:33, iter: 136, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:14:52, iter: 137, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:16:14, iter: 138, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:17:38, iter: 139, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:19:06, iter: 140, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:20:24, iter: 141, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:21:43, iter: 142, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:23:08, iter: 143, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:24:33, iter: 144, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:25:57, iter: 145, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:27:16, iter: 146, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:28:45, iter: 147, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:30:09, iter: 148, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:31:34, iter: 149, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:32:52, iter: 150, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:34:13, iter: 151, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:35:38, iter: 152, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:37:03, iter: 153, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:38:25, iter: 154, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:39:46, iter: 155, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:41:08, iter: 156, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:42:35, iter: 157, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:44:01, iter: 158, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:45:21, iter: 159, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:46:40, iter: 160, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:48:05, iter: 161, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:49:29, iter: 162, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:50:47, iter: 163, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:52:06, iter: 164, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:53:29, iter: 165, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:54:57, iter: 166, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:56:19, iter: 167, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
Date: 07-07 at 07:57:39, iter: 168, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1270.70(16) mean: 1270.70, max: 1270.70
