Date: 07-03 at 18:02:23, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 2017.24(20) mean: 2936.50, max: 3260.91
Date: 07-03 at 18:03:59, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1891.45(18) mean: 2853.70, max: 3262.90
Date: 07-03 at 18:05:28, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1886.41(18) mean: 2770.49, max: 3233.34
Date: 07-03 at 18:07:01, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1886.41(18) mean: 2649.24, max: 3273.40
Date: 07-03 at 18:08:38, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1886.41(18) mean: 2627.82, max: 3262.94
Date: 07-03 at 18:10:19, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1886.41(18) mean: 2627.86, max: 3215.76
Date: 07-03 at 18:12:04, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1840.73(19) mean: 1964.01, max: 2113.34
Date: 07-03 at 18:13:34, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1799.24(18) mean: 2023.17, max: 2207.73
Date: 07-03 at 18:15:04, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2062.57, max: 2251.10
Date: 07-03 at 18:16:32, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2044.45, max: 2223.27
Date: 07-03 at 18:18:07, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2079.35, max: 2277.69
Date: 07-03 at 18:19:45, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2082.72, max: 2280.92
Date: 07-03 at 18:21:15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2096.16, max: 2334.51
Date: 07-03 at 18:22:53, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 2081.21, max: 2393.99
Date: 07-03 at 18:24:31, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1786.99(18) mean: 1952.24, max: 2306.75
Date: 07-03 at 18:25:58, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1784.68(18) mean: 1940.65, max: 2355.31
Date: 07-03 at 18:27:33, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1784.68(18) mean: 1986.50, max: 2431.71
Date: 07-03 at 18:29:04, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1784.68(18) mean: 2000.20, max: 2234.46
Date: 07-03 at 18:30:32, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1784.68(18) mean: 1985.66, max: 2256.05
Date: 07-03 at 18:32:05, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1784.68(18) mean: 1945.95, max: 2300.00
Date: 07-03 at 18:33:50, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1766.55(19) mean: 1878.29, max: 2163.51
Date: 07-03 at 18:35:16, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1765.51(19) mean: 1919.46, max: 2201.91
Date: 07-03 at 18:36:56, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1753.77(18) mean: 1847.97, max: 2193.75
Date: 07-03 at 18:38:33, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1807.84, max: 1870.92
Date: 07-03 at 18:39:54, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1863.77, max: 1957.76
Date: 07-03 at 18:41:35, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1825.84, max: 1951.18
Date: 07-03 at 18:43:08, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1827.20, max: 1939.67
Date: 07-03 at 18:44:35, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1826.82, max: 1971.10
Date: 07-03 at 18:46:05, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1865.38, max: 2007.24
Date: 07-03 at 18:47:42, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1800.27, max: 1948.38
Date: 07-03 at 18:49:10, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1784.80, max: 1841.48
Date: 07-03 at 18:50:45, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1796.68, max: 1915.21
Date: 07-03 at 18:52:21, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1814.61, max: 2058.89
Date: 07-03 at 18:53:52, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1824.22, max: 2129.06
Date: 07-03 at 18:55:22, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1779.81, max: 1876.44
Date: 07-03 at 18:56:54, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1750.02(18) mean: 1788.74, max: 1860.08
