Date: 07-19 at 03:41:48, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 1083.63(6) mean: 2506.04, max: 4087.91
Date: 07-19 at 03:42:41, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 925.12(5) mean: 2116.92, max: 3656.82
Date: 07-19 at 03:43:30, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 897.73(5) mean: 1334.73, max: 2932.55
Date: 07-19 at 03:44:17, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 896.72(5) mean: 1205.43, max: 2286.88
Date: 07-19 at 03:45:01, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 896.72(5) mean: 1032.22, max: 1787.44
Date: 07-19 at 03:45:49, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 879.86(6) mean: 1071.38, max: 1854.63
Date: 07-19 at 03:46:38, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 879.86(6) mean: 1124.67, max: 1900.05
Date: 07-19 at 03:47:27, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 879.86(6) mean: 1045.99, max: 1134.39
Date: 07-19 at 03:48:13, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 879.86(6) mean: 926.50, max: 963.29
Date: 07-19 at 03:49:01, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 833.78(7) mean: 949.79, max: 1035.39
Date: 07-19 at 03:49:47, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 810.73(7) mean: 961.61, max: 1049.70
Date: 07-19 at 03:50:33, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 810.73(7) mean: 859.55, max: 922.51
Date: 07-19 at 03:51:20, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 810.73(7) mean: 887.46, max: 961.72
Date: 07-19 at 03:52:07, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 810.73(7) mean: 881.73, max: 956.21
Date: 07-19 at 03:52:54, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 809.61(7) mean: 865.00, max: 942.16
Date: 07-19 at 03:53:39, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 774.12(6) mean: 839.45, max: 908.90
Date: 07-19 at 03:54:26, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 771.65(6) mean: 868.78, max: 947.37
Date: 07-19 at 03:55:12, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 771.65(6) mean: 831.73, max: 922.51
Date: 07-19 at 03:55:54, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 733.64(5) mean: 802.64, max: 851.02
Date: 07-19 at 03:56:40, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 797.52, max: 857.68
Date: 07-19 at 03:57:23, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 764.00, max: 772.96
Date: 07-19 at 03:58:09, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 761.45, max: 772.96
Date: 07-19 at 03:58:53, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 758.76, max: 772.96
Date: 07-19 at 03:59:38, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 758.76, max: 772.96
Date: 07-19 at 04:00:25, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 732.56(5) mean: 1113.51, max: 1579.90
Date: 07-19 at 04:01:12, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 723.52(4) mean: 934.20, max: 1460.51
Date: 07-19 at 04:01:56, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 689.41(4) mean: 985.85, max: 1305.30
Date: 07-19 at 04:02:38, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 689.41(4) mean: 749.09, max: 784.19
Date: 07-19 at 04:03:21, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 680.16(5) mean: 712.48, max: 781.16
Date: 07-19 at 04:04:07, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 676.46(5) mean: 702.79, max: 733.10
Date: 07-19 at 04:04:51, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 649.93(4) mean: 694.02, max: 741.88
Date: 07-19 at 04:05:37, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 649.92(4) mean: 692.09, max: 745.01
Date: 07-19 at 04:06:19, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 645.67(4) mean: 676.19, max: 708.59
Date: 07-19 at 04:07:02, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 629.98, max: 677.21
Date: 07-19 at 04:07:47, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 625.76, max: 672.05
Date: 07-19 at 04:08:27, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 616.57, max: 634.08
Date: 07-19 at 04:09:08, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 615.47, max: 629.09
Date: 07-19 at 04:09:52, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 608.21, max: 626.25
Date: 07-19 at 04:11:17, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 699.44, max: 1116.67
Date: 07-19 at 04:12:00, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 676.49, max: 1119.15
Date: 07-19 at 04:12:42, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 620.21, max: 741.11
Date: 07-19 at 04:13:28, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 604.59, max: 673.16
Date: 07-19 at 04:15:20, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 639.81, max: 911.80
Date: 07-19 at 04:16:08, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 588.29 best obj: 588.29(3) mean: 626.35, max: 895.19
