Date: 12-04 at 12:37:39, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 1047.14(4), mean: 2779.26, max: 3294.11
Date: 12-04 at 12:38:09, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 976.88(4), mean: 1919.73, max: 2647.51
Date: 12-04 at 12:38:42, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 949.92(4), mean: 1402.09, max: 2180.96
Date: 12-04 at 12:39:11, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 934.93(4), mean: 1041.05, max: 1257.52
Date: 12-04 at 12:39:41, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 928.44(4), mean: 975.00, max: 1038.23
Date: 12-04 at 12:40:13, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 924.16(4), mean: 950.34, max: 1000.45
Date: 12-04 at 12:40:47, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 915.44(4), mean: 948.30, max: 1000.45
Date: 12-04 at 12:41:14, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.45(4), mean: 976.04, max: 1026.00
Date: 12-04 at 12:41:36, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.37(4), mean: 972.01, max: 1073.47
Date: 12-04 at 12:42:10, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.35(4), mean: 947.53, max: 1027.58
Date: 12-04 at 12:42:34, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 936.01, max: 1059.46
Date: 12-04 at 12:42:57, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 922.53, max: 967.03
Date: 12-04 at 12:43:23, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 918.50, max: 961.82
Date: 12-04 at 12:43:59, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 924.15, max: 997.99
Date: 12-04 at 12:44:31, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 917.66, max: 959.89
Date: 12-04 at 12:44:55, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 1849.04, max: 2299.75
Date: 12-04 at 12:45:28, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 1420.85, max: 1753.93
Date: 12-04 at 12:45:59, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 905.05(4), mean: 987.97, max: 1155.00
Date: 12-04 at 12:46:33, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 901.76(4), mean: 931.56, max: 972.08
Date: 12-04 at 12:47:06, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 899.12(4), mean: 918.39, max: 954.22
Date: 12-04 at 12:47:31, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 895.46(4), mean: 902.57, max: 921.86
Date: 12-04 at 12:47:57, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 887.05(4), mean: 900.77, max: 921.86
Date: 12-04 at 12:48:24, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 886.91(4), mean: 900.76, max: 921.86
Date: 12-04 at 12:49:07, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 886.91(4), mean: 900.36, max: 924.24
Date: 12-04 at 12:49:34, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 797.99, best obj: 886.91(4), mean: 951.67, max: 960.07
