Date: 08-05 at 17:23:34, #particle: 35, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1684.01(5), mean: 3679.99, max: 4666.63
Date: 08-05 at 17:25:15, #particle: 35, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1530.51(10), mean: 3272.35, max: 4323.67
Date: 08-05 at 17:26:47, #particle: 35, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1423.09(10), mean: 2413.19, max: 3635.57
Date: 08-05 at 17:28:49, #particle: 35, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1285.70(9), mean: 2422.01, max: 3643.24
Date: 08-05 at 17:30:32, #particle: 35, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1276.96(9), mean: 2112.12, max: 3488.28
Date: 08-05 at 17:32:16, #particle: 35, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1272.85(9), mean: 2166.90, max: 3544.79
Date: 08-05 at 17:33:47, #particle: 35, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1272.23(9), mean: 2155.33, max: 3487.07
Date: 08-05 at 17:35:59, #particle: 35, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1250.55(11), mean: 1437.76, max: 1557.57
Date: 08-05 at 17:37:34, #particle: 35, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1237.86(10), mean: 1484.10, max: 1631.68
Date: 08-05 at 17:39:16, #particle: 35, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1212.29(9), mean: 1386.27, max: 1603.42
Date: 08-05 at 17:41:09, #particle: 35, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1201.22(9), mean: 1366.83, max: 1609.31
Date: 08-05 at 17:43:04, #particle: 35, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1284.13, max: 1461.24
Date: 08-05 at 17:45:02, #particle: 35, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1289.88, max: 1483.44
Date: 08-05 at 17:46:40, #particle: 35, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1311.92, max: 1529.46
Date: 08-05 at 17:48:47, #particle: 35, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1267.93, max: 1381.48
Date: 08-05 at 17:50:35, #particle: 35, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1314.78, max: 1448.93
Date: 08-05 at 17:52:25, #particle: 35, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1454.91, max: 1790.43
Date: 08-05 at 17:54:17, #particle: 35, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1310.80, max: 1576.51
Date: 08-05 at 17:56:11, #particle: 35, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1290.19, max: 1551.44
Date: 08-05 at 17:58:06, #particle: 35, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1301.10, max: 1588.53
Date: 08-05 at 17:59:40, #particle: 35, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1524.33, max: 1816.08
Date: 08-05 at 18:01:24, #particle: 35, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3981.41, max: 4834.20
Date: 08-05 at 18:03:12, #particle: 35, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3509.28, max: 4499.79
Date: 08-05 at 18:05:07, #particle: 35, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3092.20, max: 4199.29
Date: 08-05 at 18:07:07, #particle: 35, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2472.60, max: 3577.31
Date: 08-05 at 18:08:52, #particle: 35, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1725.89, max: 3550.33
Date: 08-05 at 18:10:42, #particle: 35, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1366.56, max: 1638.55
Date: 08-05 at 18:12:12, #particle: 35, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1388.19, max: 1567.96
Date: 08-05 at 18:14:08, #particle: 35, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1533.89, max: 1785.94
Date: 08-05 at 18:15:59, #particle: 35, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1513.60, max: 1866.44
Date: 08-05 at 18:17:50, #particle: 35, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3915.37, max: 4941.97
Date: 08-05 at 18:19:47, #particle: 35, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3689.39, max: 4577.07
Date: 08-05 at 18:21:28, #particle: 35, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3242.26, max: 4190.43
Date: 08-05 at 18:23:16, #particle: 35, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2233.13, max: 4015.88
Date: 08-05 at 18:24:56, #particle: 35, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1832.10, max: 3160.37
Date: 08-05 at 18:26:35, #particle: 35, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1798.09, max: 2885.90
Date: 08-05 at 18:28:32, #particle: 35, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1851.90, max: 2756.95
Date: 08-05 at 18:30:18, #particle: 35, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1686.07, max: 2320.15
Date: 08-05 at 18:32:08, #particle: 35, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1443.11, max: 2163.31
Date: 08-05 at 18:34:11, #particle: 35, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3969.66, max: 4850.11
Date: 08-05 at 18:36:02, #particle: 35, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3483.18, max: 4384.72
Date: 08-05 at 18:37:40, #particle: 35, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3078.57, max: 4006.99
Date: 08-05 at 18:39:22, #particle: 35, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2430.21, max: 3375.36
Date: 08-05 at 18:41:10, #particle: 35, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2095.24, max: 2982.04
Date: 08-05 at 18:43:10, #particle: 35, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2026.05, max: 2734.82
Date: 08-05 at 18:45:01, #particle: 35, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1585.76, max: 2472.78
Date: 08-05 at 18:46:54, #particle: 35, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1293.84, max: 1390.22
Date: 08-05 at 18:48:43, #particle: 35, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1354.72, max: 1453.78
Date: 08-05 at 18:50:47, #particle: 35, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3893.89, max: 4852.27
Date: 08-05 at 18:52:43, #particle: 35, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3564.24, max: 4570.56
Date: 08-05 at 18:54:31, #particle: 35, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 3178.98, max: 4162.37
Date: 08-05 at 18:56:11, #particle: 35, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2479.36, max: 3300.80
Date: 08-05 at 18:57:44, #particle: 35, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 2080.50, max: 2832.16
Date: 08-05 at 18:59:32, #particle: 35, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1571.76, max: 2696.91
Date: 08-05 at 19:01:21, #particle: 35, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1186.68(9), mean: 1506.24, max: 2648.36
Date: 08-05 at 19:03:15, #particle: 35, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1181.88(8), mean: 1429.43, max: 2352.57
Date: 08-05 at 19:04:58, #particle: 35, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1178.27(8), mean: 1414.16, max: 1705.58
Date: 08-05 at 19:06:44, #particle: 35, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1457.61, max: 1781.75
Date: 08-05 at 19:08:42, #particle: 35, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1273.70, max: 1460.74
Date: 08-05 at 19:10:10, #particle: 35, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1304.67, max: 1469.68
Date: 08-05 at 19:12:04, #particle: 35, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1257.08, max: 1438.31
Date: 08-05 at 19:13:59, #particle: 35, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1242.79, max: 1341.53
Date: 08-05 at 19:15:41, #particle: 35, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1450.10, max: 1765.94
Date: 08-05 at 19:17:12, #particle: 35, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1054.61, best obj: 1177.29(8), mean: 1376.54, max: 1767.33
