Date: 11-08 at 04:50:36, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1418.18(14), mean: 3565.86, max: 4014.52
Date: 11-08 at 04:51:40, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1237.34(14), mean: 3318.57, max: 3818.73
Date: 11-08 at 04:52:44, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1116.13(14), mean: 3099.62, max: 3517.30
Date: 11-08 at 04:53:49, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1097.26(14), mean: 2731.33, max: 3208.34
Date: 11-08 at 04:54:50, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1090.92(13), mean: 2665.18, max: 3154.71
Date: 11-08 at 04:55:52, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1070.96(13), mean: 2400.46, max: 2838.47
Date: 11-08 at 04:57:00, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1064.15(14), mean: 1855.93, max: 2575.08
Date: 11-08 at 04:58:11, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1036.49(13), mean: 1162.02, max: 1320.05
Date: 11-08 at 04:59:15, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 957.08(12), mean: 1088.54, max: 1245.80
Date: 11-08 at 05:00:19, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 946.05(12), mean: 1035.69, max: 1109.74
Date: 11-08 at 05:01:20, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 909.20(11), mean: 1019.71, max: 1109.74
Date: 11-08 at 05:02:16, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 907.58(11), mean: 1002.65, max: 1108.50
Date: 11-08 at 05:03:18, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 993.36, max: 1108.50
Date: 11-08 at 05:04:15, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 991.25, max: 1108.50
Date: 11-08 at 05:05:10, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 988.25, max: 1108.50
Date: 11-08 at 05:06:10, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 975.97, max: 1081.56
Date: 11-08 at 05:07:09, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 935.73, max: 984.34
Date: 11-08 at 05:08:07, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 928.31, max: 980.24
Date: 11-08 at 05:08:59, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 876.32, max: 878.88
Date: 11-08 at 05:09:57, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 876.14, max: 878.88
Date: 11-08 at 05:10:56, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 876.14, max: 878.88
Date: 11-08 at 05:11:51, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 876.14, max: 878.88
Date: 11-08 at 05:12:45, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 3233.09, max: 3641.21
Date: 11-08 at 05:13:54, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 1317.29, max: 1479.11
Date: 11-08 at 05:14:56, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 1249.44, max: 1507.78
Date: 11-08 at 05:15:53, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 1197.58, max: 1437.34
Date: 11-08 at 05:16:56, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 875.94(10), mean: 1075.71, max: 1409.22
Date: 11-08 at 05:17:55, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 864.93(11), mean: 1010.81, max: 1238.67
