Date: 08-03 at 14:20:06, #particle: 25, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1577.40(15), mean: 2662.09, max: 2988.65
Date: 08-03 at 14:21:19, #particle: 25, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1513.09(15), mean: 2491.56, max: 2985.38
Date: 08-03 at 14:22:19, #particle: 25, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1433.28(13), mean: 2115.18, max: 2830.66
Date: 08-03 at 14:23:25, #particle: 25, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1423.60(13), mean: 2098.58, max: 2838.09
Date: 08-03 at 14:24:31, #particle: 25, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1418.12(13), mean: 1831.23, max: 2729.33
Date: 08-03 at 14:25:35, #particle: 25, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1418.12(13), mean: 1753.51, max: 2625.58
Date: 08-03 at 14:26:44, #particle: 25, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1418.12(13), mean: 1668.08, max: 2381.27
Date: 08-03 at 14:27:53, #particle: 25, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1418.12(13), mean: 1537.66, max: 1769.53
Date: 08-03 at 14:28:54, #particle: 25, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1394.57(14), mean: 1554.17, max: 1824.79
Date: 08-03 at 14:30:04, #particle: 25, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1387.38(14), mean: 1468.60, max: 1540.49
Date: 08-03 at 14:31:09, #particle: 25, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1377.86(14), mean: 1465.13, max: 1622.30
Date: 08-03 at 14:32:10, #particle: 25, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1513.10, max: 1652.77
Date: 08-03 at 14:33:13, #particle: 25, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1494.16, max: 1659.26
Date: 08-03 at 14:34:18, #particle: 25, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1425.11, max: 1517.35
Date: 08-03 at 14:35:21, #particle: 25, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1467.77, max: 1585.97
Date: 08-03 at 14:36:33, #particle: 25, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1466.97, max: 1602.89
Date: 08-03 at 14:37:37, #particle: 25, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1643.55, max: 1971.62
Date: 08-03 at 14:38:50, #particle: 25, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1622.18, max: 1972.44
Date: 08-03 at 14:39:55, #particle: 25, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1357.64(14), mean: 1423.70, max: 1489.91
Date: 08-03 at 14:41:02, #particle: 25, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1337.09(14), mean: 1395.14, max: 1445.80
Date: 08-03 at 14:42:05, #particle: 25, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1326.26(14), mean: 1443.28, max: 1530.36
Date: 08-03 at 14:43:08, #particle: 25, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1325.78(13), mean: 1392.16, max: 1480.97
Date: 08-03 at 14:44:13, #particle: 25, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1325.78(13), mean: 1409.24, max: 1513.69
Date: 08-03 at 14:45:20, #particle: 25, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1325.78(13), mean: 1388.05, max: 1473.93
Date: 08-03 at 14:46:22, #particle: 25, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1325.78(13), mean: 1380.90, max: 1474.67
Date: 08-03 at 14:47:29, #particle: 25, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1312.91(13), mean: 1372.21, max: 1464.19
Date: 08-03 at 14:48:40, #particle: 25, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1306.61(13), mean: 1372.63, max: 1479.64
Date: 08-03 at 14:49:43, #particle: 25, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1306.61(13), mean: 1380.92, max: 1479.65
Date: 08-03 at 14:50:48, #particle: 25, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1306.61(13), mean: 1415.36, max: 1513.61
Date: 08-03 at 14:51:53, #particle: 25, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1306.61(13), mean: 1379.86, max: 1552.52
