Date: 03-24 at 16:14:00, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 1053.07(5), mean: 2188.42, max: 3039.95
Date: 03-24 at 16:14:02, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 896.78(5), mean: 2098.87, max: 2875.91
Date: 03-24 at 16:14:04, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 781.17(4), mean: 1689.90, max: 2300.49
Date: 03-24 at 16:14:07, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 736.46(4), mean: 1326.34, max: 1912.79
Date: 03-24 at 16:14:10, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 733.76(4), mean: 904.47, max: 1065.00
Date: 03-24 at 16:14:13, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 733.76(4), mean: 840.22, max: 1150.74
Date: 03-24 at 16:14:17, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 733.08(4), mean: 828.72, max: 1120.91
Date: 03-24 at 16:14:26, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 718.96(5), mean: 773.82, max: 839.48
Date: 03-24 at 16:14:34, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 681.16(5), mean: 776.86, max: 878.58
Date: 03-24 at 16:14:42, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 638.18(5), mean: 742.15, max: 821.34
Date: 03-24 at 16:14:44, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 633.42(4), mean: 715.79, max: 795.48
Date: 03-24 at 16:14:47, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 581.39(5), mean: 678.39, max: 807.39
Date: 03-24 at 16:14:54, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 666.67, max: 767.38
Date: 03-24 at 16:15:00, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 661.87, max: 701.71
Date: 03-24 at 16:15:04, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 694.18, max: 742.09
Date: 03-24 at 16:15:09, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 618.31, max: 649.58
Date: 03-24 at 16:15:19, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 616.16, max: 648.62
Date: 03-24 at 16:15:29, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 2146.03, max: 2919.45
Date: 03-24 at 16:15:32, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 1569.58, max: 2270.02
Date: 03-24 at 16:15:36, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 1066.59, max: 1650.93
Date: 03-24 at 16:15:42, particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, best obj: 575.71(5), mean: 765.52, max: 880.94
Date: 03-24 at 16:15:46, particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, best obj: 573.58(5), mean: 2115.49, max: 2906.06
Date: 03-24 at 16:15:49, particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, best obj: 571.96(5), mean: 1820.53, max: 2540.98
