Date: 07-09 at 01:04:56, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 1055.49(5) mean: 2792.43, max: 4173.43
Date: 07-09 at 01:05:38, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 961.11(5) mean: 2517.04, max: 3936.89
Date: 07-09 at 01:06:24, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 928.38(5) mean: 1462.77, max: 2502.24
Date: 07-09 at 01:07:11, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 927.61(5) mean: 1082.14, max: 1230.75
Date: 07-09 at 01:07:52, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 927.61(5) mean: 1109.24, max: 1254.95
Date: 07-09 at 01:08:37, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 927.61(5) mean: 1084.38, max: 1237.95
Date: 07-09 at 01:09:22, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 927.61(5) mean: 1022.03, max: 1173.34
Date: 07-09 at 01:10:03, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 927.61(5) mean: 1019.53, max: 1206.67
Date: 07-09 at 01:10:46, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 911.78(5) mean: 934.84, max: 976.13
Date: 07-09 at 01:11:25, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 894.25(6) mean: 960.82, max: 1026.44
Date: 07-09 at 01:12:03, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 885.49(6) mean: 979.00, max: 1059.86
Date: 07-09 at 01:12:43, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 885.49(6) mean: 1047.23, max: 1137.36
Date: 07-09 at 01:13:26, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 878.77(6) mean: 932.25, max: 1007.62
Date: 07-09 at 01:14:05, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 875.71(6) mean: 984.29, max: 1071.49
Date: 07-09 at 01:14:50, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 875.71(6) mean: 919.30, max: 988.76
Date: 07-09 at 01:15:28, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 875.71(6) mean: 954.20, max: 1003.17
Date: 07-09 at 01:16:07, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 875.71(6) mean: 990.38, max: 1048.99
Date: 07-09 at 01:16:52, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 864.21(6) mean: 917.78, max: 990.85
Date: 07-09 at 01:17:32, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 894.08, max: 948.19
Date: 07-09 at 01:18:12, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 880.44, max: 924.49
Date: 07-09 at 01:18:56, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 870.72, max: 912.54
Date: 07-09 at 01:19:37, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 870.38, max: 910.85
Date: 07-09 at 01:20:17, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 868.12, max: 877.05
Date: 07-09 at 01:20:58, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 876.19, max: 935.08
Date: 07-09 at 01:21:41, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 867.88, max: 875.71
Date: 07-09 at 01:22:22, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 867.79, max: 875.71
Date: 07-09 at 01:23:01, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 867.79, max: 875.71
Date: 07-09 at 01:23:43, iter: 28, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 867.79, max: 875.71
Date: 07-09 at 01:24:26, iter: 29, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 867.79, max: 875.71
Date: 07-09 at 01:25:09, iter: 30, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 876.97, max: 903.27
Date: 07-09 at 01:25:49, iter: 31, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 864.00, max: 866.30
Date: 07-09 at 01:26:30, iter: 32, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.84, max: 863.99
Date: 07-09 at 01:27:13, iter: 33, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:27:57, iter: 34, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:28:36, iter: 35, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:29:16, iter: 36, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:29:58, iter: 37, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:30:42, iter: 38, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:31:23, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:32:02, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:32:42, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:33:26, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:34:10, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:34:49, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:35:28, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:36:09, iter: 46, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:36:53, iter: 47, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:37:34, iter: 48, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:38:13, iter: 49, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:38:54, iter: 50, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:39:35, iter: 51, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:40:19, iter: 52, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:40:57, iter: 53, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:41:37, iter: 54, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:42:20, iter: 55, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:43:03, iter: 56, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:43:44, iter: 57, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:44:23, iter: 58, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:45:03, iter: 59, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:45:45, iter: 60, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:46:29, iter: 61, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:47:08, iter: 62, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
Date: 07-09 at 01:47:48, iter: 63, fix: false, local: false, cut car: false, new generate: false, Khoo: 591.17 best obj: 863.82(6) mean: 863.82, max: 863.82
