Date: 07-11 at 15:59:40, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1417.13(15) mean: 3294.13, max: 4131.19
Date: 07-11 at 16:00:43, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1147.60(13) mean: 1480.14, max: 1748.50
Date: 07-11 at 16:01:35, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1064.63(13) mean: 1439.26, max: 1751.34
Date: 07-11 at 16:02:32, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1063.27(13) mean: 1412.41, max: 1800.55
Date: 07-11 at 16:03:28, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1059.75(13) mean: 1288.63, max: 1510.80
Date: 07-11 at 16:04:20, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1059.75(13) mean: 1315.25, max: 1542.80
Date: 07-11 at 16:05:18, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 1050.66(14) mean: 1280.43, max: 1610.37
Date: 07-11 at 16:06:12, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 998.95(13) mean: 1227.36, max: 1522.59
Date: 07-11 at 16:07:06, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 940.72(12) mean: 1224.26, max: 1442.69
Date: 07-11 at 16:08:03, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1194.18, max: 1414.42
Date: 07-11 at 16:09:01, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1066.03, max: 1184.25
Date: 07-11 at 16:09:59, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1043.14, max: 1173.79
Date: 07-11 at 16:10:50, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1048.84, max: 1208.13
Date: 07-11 at 16:11:46, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1023.97, max: 1154.19
Date: 07-11 at 16:12:45, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1209.41, max: 1537.66
Date: 07-11 at 16:13:35, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1182.08, max: 1546.39
Date: 07-11 at 16:14:32, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1033.14, max: 1172.72
Date: 07-11 at 16:15:26, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1036.06, max: 1192.78
Date: 07-11 at 16:16:19, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1220.47, max: 1794.52
Date: 07-11 at 16:17:16, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 929.20(12) mean: 1073.89, max: 1730.10
Date: 07-11 at 16:18:05, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 925.39(12) mean: 1082.53, max: 1769.87
Date: 07-11 at 16:18:59, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 925.39(12) mean: 1024.90, max: 1713.14
Date: 07-11 at 16:19:57, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 922.09(12) mean: 1028.09, max: 1707.24
Date: 07-11 at 16:20:51, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.07 best obj: 922.09(12) mean: 969.24, max: 1071.43
